"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-07-23 05:30:00,27.0301456451416,31.93,94.25,0,1002.5594,8.83040027618408,91.3
"2",2019-07-23 08:30:00,29.7354984283447,37.05,80.73,0.1,1004.0556,8.89145743846893,184.37
"3",2019-07-23 11:30:00,31.4566898345947,40.68,75.31,0.38,1003.4556,9.57124443054199,237.5
"4",2019-07-23 14:30:00,32.0758304595947,42.36,74.48,1.9,1001.2688,9.98374671936035,185.91
"5",2019-07-23 17:30:00,30.4083499908447,38.46,78.42,1.36,1001.4706,13.028645324707,224.34
"6",2019-07-23 20:30:00,28.6131839752197,35.42,87.98,0.11,1003.6856,11.1271887302399,193.56
"7",2019-07-23 23:30:00,28.1908206939697,35.06,91.97,0.00999999999999979,1004.0988,10.2045676231384,197.27
"8",2019-07-24 02:30:00,27.8348636627197,33.38,89.45,0.0100000000000002,1002.6406,13.0455591201782,235.82
"9",2019-07-24 05:30:00,27.4325199127197,31.75,87.11,0,1003.3756,13.957664680481,229.44
"10",2019-07-24 08:30:00,30.8558597564697,36.51,67.53,0,1004.9206,17.0051167488098,255.52
"11",2019-07-24 11:30:00,34.4852523803711,40.77,53.43,0.21,1003.9738,17.7788340568542,261.05
"12",2019-07-24 14:30:00,36.0401840209961,42.84,49.11,0,1000.995,19.0852646827698,248.52
"13",2019-07-24 17:30:00,34.3050765991211,41.06,55.3,0.15,1001.2206,15.6533168792725,227.46
"14",2019-07-24 20:30:00,28.9740238189697,35.1,81.98,2.17,1004.8638,16.261017036438,202.54
"15",2019-07-24 23:30:00,28.4857425689697,34.64,86.41,1.86,1005.8125,11.6494474411011,194.29
"16",2019-07-25 02:30:00,28.5621585845947,33.62,80.39,0,1003.9175,15.3283026695251,242.13
"17",2019-07-25 05:30:00,28.1935062408447,32.75,80.97,0,1004.2919,14.1107025146484,242.69
"18",2019-07-25 08:30:00,31.7459964752197,36.92,61.49,0,1006.8112,19.2943808555603,263.77
"19",2019-07-25 11:30:00,34.7406234741211,40.78,51.87,0,1005.7706,22.5510040283203,276.47
"20",2019-07-25 14:30:00,35.4952621459961,41.27,48.54,0.0700000000000003,1002.3131,21.9001859664917,260.02
