"DISTRICT","MANDAL","2019-07-23 05:30:00","2019-07-23 08:30:00","2019-07-23 11:30:00","2019-07-23 14:30:00","2019-07-23 17:30:00","2019-07-23 20:30:00","2019-07-23 23:30:00","2019-07-24 02:30:00","2019-07-24 05:30:00","2019-07-24 08:30:00","2019-07-24 11:30:00","2019-07-24 14:30:00","2019-07-24 17:30:00","2019-07-24 20:30:00","2019-07-24 23:30:00","2019-07-25 02:30:00","2019-07-25 05:30:00","2019-07-25 08:30:00","2019-07-25 11:30:00","2019-07-25 14:30:00","2019-07-25 17:30:00","2019-07-25 20:30:00","2019-07-25 23:30:00","2019-07-26 02:30:00","2019-07-26 05:30:00","2019-07-26 08:30:00","2019-07-26 11:30:00","2019-07-26 14:30:00","2019-07-26 17:30:00","2019-07-26 20:30:00","2019-07-26 23:30:00","2019-07-27 02:30:00","2019-07-27 05:30:00","2019-07-27 08:30:00","2019-07-27 11:30:00","2019-07-27 14:30:00","2019-07-27 17:30:00","2019-07-27 20:30:00","2019-07-27 23:30:00","2019-07-28 02:30:00","2019-07-28 05:30:00","2019-07-28 08:30:00","2019-07-28 11:30:00","2019-07-28 14:30:00","2019-07-28 17:30:00","2019-07-28 20:30:00","2019-07-28 23:30:00","2019-07-29 02:30:00","2019-07-29 05:30:00","2019-07-29 11:30:00","2019-07-29 17:30:00","2019-07-29 23:30:00","2019-07-30 05:30:00","2019-07-30 11:30:00","2019-07-30 17:30:00","2019-07-30 23:30:00","2019-07-31 05:30:00","2019-07-31 11:30:00","2019-07-31 17:30:00","2019-07-31 23:30:00","2019-08-01 05:30:00","2019-08-01 11:30:00","2019-08-01 17:30:00","2019-08-01 23:30:00","2019-08-02 05:30:00"
"ANANTAPUR","AGALI",21.71,22.75,24.71,27.12,23.81,23.01,22.49,21.82,21.95,24.24,27.98,29.47,27.64,24.48,22.38,21.38,21.91,24.63,28.91,29.28,25.7,24.32,22.89,22.43,22.23,24.51,27.67,27.12,24.51,22.96,22.32,21.84,21.91,24.06,27.71,27.8,25.62,23.57,22.69,22.1,21.78,22.93,28.2,28.89,27.49,23.95,22.97,21.9,21.65,28.79,27.75,22.15,20.87,28.61,27.76,22.75,21.12,28.38,28.96,22.66,20.58,28.14,28.45,22.72,20.59
"ANANTAPUR","AMADAGUR",22.36,24.46,27.13,29.78,27.89,24.37,23.75,23.14,22.66,25.44,30.78,31.4,30.08,27.36,24.78,23.01,22.29,26.9,31.35,32.7,30.28,25.72,24.75,23.39,22.99,25.67,29.08,29.13,24.96,23.61,22.98,22.61,22.1,24.52,29.06,29.96,28.24,25.24,23.42,22.98,22.53,24.78,27.85,30.2,28.94,26.1,24.35,22.97,22.75,29.95,28.58,24.36,21.78,30.27,29.02,24.86,22.15,30,30.46,25.29,22.08,31.18,30.89,25.02,22.4
"ANANTAPUR","AMARAPURAM",23.03,24.38,28.36,28.57,25.21,23.6,23.21,22.9,22.54,24.6,28.05,30.61,29.11,25.28,23.61,22.63,22.82,25.86,30.96,29.7,28.05,25.16,23.95,23.08,23.15,25.1,28.96,28.78,25.69,23.63,23.12,22.55,22.53,25.31,28.95,28.75,27.57,24,23.48,22.54,21.87,24.46,28.86,29.11,27.64,24.77,23.12,23.06,23.4,29.76,28.76,23.28,22.61,29.42,28.86,23.47,21.83,29.33,29.57,23.42,21.5,29.92,29.77,23.45,22.12
"ANANTAPUR","ANANTAPURMANDAL",25.23,25.77,31.19,31.46,30.73,27.32,25.7,25.11,25.05,29.1,33.57,35.42,32.97,30.22,27.74,25.29,24.69,29.8,34.21,35.3,32.23,30.28,27.92,25.73,25.27,28.51,32.29,32.17,30.17,25.7,24.82,24.78,24.59,28.74,31.62,32.45,30.17,27.24,24.89,24.28,24.67,27.47,30.48,31.67,30.62,28.57,26,24.82,25.23,32.38,31.35,27.45,24,32.92,32.01,28.04,24.72,34.17,33.3,28.42,24.18,33.59,34.24,28.02,24.6
"ANANTAPUR","ATMAKUR",24.76,25.77,29.16,30.09,29.37,25.33,24.77,24.28,24.16,26.91,31.1,33.48,31.89,28.2,25.37,24.18,23.73,28.13,32.91,34.21,31.37,28.38,25.64,24.58,24.23,27.11,31.36,31.01,29.19,25.53,24.76,24.22,23.86,26.99,30.81,31.14,29.35,25.27,24.5,23.65,23.54,25.41,29.37,30.47,29.49,27.12,24.89,23.92,24.3,31.71,30.91,25.35,23.24,32.02,31.43,26.11,23.71,32.31,32.39,27.34,23.44,32.58,33.36,27.2,23.88
"ANANTAPUR","BATHALAPALLE",24.42,26.74,32.12,32.88,31.2,28.03,26.11,25.43,25.24,29.19,32.57,34.56,33.25,30.49,28.32,25.57,24.72,29.61,33.82,35.52,32.6,29.66,27.96,25.74,25.27,28.68,32.41,31.94,30.39,25.63,24.73,24.49,24.38,28.59,31.33,32.53,30.32,28.05,25.17,24.84,24.86,25.87,31.04,31.94,30.45,28.37,27.18,25.26,25.52,32.22,31.53,27.57,24.19,32.58,31.93,28.55,24.65,32.75,32.7,28.69,24.31,33.14,33.9,28.15,24.49
"ANANTAPUR","BELUGUPPA",24.09,25.35,28.5,30.42,28.42,24.95,24.5,24.02,23.76,26.89,30.78,32.65,30.99,27.61,24.9,23.85,23.66,28.04,31.69,31.47,30.29,27.02,25.07,23.98,23.8,26.96,30.84,30.35,27.88,24.69,23.97,23.35,23.35,27.08,29.58,31.29,28.52,24.66,23.78,22.9,23.23,25.17,29.04,29.54,28.97,26.02,24.31,23.87,24.23,31.05,30.12,24.53,23.06,31.43,30.17,25.26,23.11,31.23,31.87,25.46,22.83,31.87,31.97,25.32,23.22
"ANANTAPUR","BOMMANAHAL",24.49,26.1,29.84,32.28,28.64,25.5,24.94,24.52,24.33,28.05,32.15,33.16,31.56,28.4,25.49,24.21,24.39,28.88,32.46,33.69,30.41,28,25.56,24.35,24.12,27.76,32.26,31.09,28.7,24.76,24.39,23.78,23.7,27.71,30.14,30.93,27.9,24.62,23.56,23.65,23.86,25.86,29.76,30.81,29.51,27.52,24.66,24.56,24.58,30.84,30.24,25.14,23.39,31.75,29.63,25.74,23.66,32.37,31.97,25.83,23.16,32.46,32.09,25.42,23.87
"ANANTAPUR","BRAHMASAMUDRAM",23.59,25.22,28.1,28.98,27.34,24.39,23.92,23.66,23.43,26.01,29.44,31.28,30.32,26.84,24.36,23.39,23.74,27.32,30.47,31.43,29.43,25.83,24.57,23.71,23.56,25.67,29.77,29.81,26,23.89,23.57,23.07,23.26,25.52,29.12,30.71,28.37,24.7,23.69,22.63,22.72,24.62,28.74,28.8,28.51,25.56,23.89,23.8,24.01,30.49,29.4,23.84,23.29,30.95,29.5,24.53,22.99,30.55,30.56,24.38,22.47,30.3,30.67,24.28,22.85
"ANANTAPUR","BUKKAPATNAM",23.38,25.07,29.59,31.76,29.65,25.62,25.09,24.34,24.08,27.69,31.08,32.88,31.37,28.96,26.09,24.4,23.49,28.04,31.77,33.75,31.32,28.03,25.87,24.66,24.15,27.12,30.79,30.65,28.42,24.72,23.99,23.73,23.49,25.34,30.53,30.64,29.1,26.07,24.3,24.07,23.8,25.3,30.13,31.3,29.45,27.68,25.59,24.3,24.07,30.89,30.23,25.64,23.17,31.27,30.38,27.29,23.5,31.29,30.96,27.36,23.4,32.2,32.32,27.13,23.58
