"DISTRICT","MANDAL","23-07-19","24-07-19","25-07-19","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19"
"ANANTAPUR","AGALI",26.89,29.02,28.69,27.33,27.79,29.39,29.77,29.7,30.12,29.2
"ANANTAPUR","AMADAGUR",29.42,30.7,32.17,29.06,29.78,31.14,31.13,31.76,32.18,33.09
"ANANTAPUR","AMARAPURAM",28.09,30.1,30.41,28.45,28.84,29.77,30.46,30.26,30.48,31.06
"ANANTAPUR","ANANTAPURMANDAL",30.23,33.88,34.18,31.73,32.61,32.36,32.77,34.07,35.31,35.1
"ANANTAPUR","ATMAKUR",28.72,31.57,32.31,30.27,30.75,30.63,32.15,32.9,33.28,34.09
"ANANTAPUR","BATHALAPALLE",31.76,33.51,34.54,31.75,32.54,32.88,32.74,33.6,33.87,34.76
"ANANTAPUR","BELUGUPPA",29.45,31.6,31.18,30.38,31.46,29.74,31.93,32.7,32.65,33.29
"ANANTAPUR","BOMMANAHAL",30.75,32.15,32.6,31.3,31.29,30.35,31.5,32.7,33.64,33.76
"ANANTAPUR","BRAHMASAMUDRAM",28.17,30.6,30.01,29.25,30.79,28.93,31,31.78,31.84,31.33
"ANANTAPUR","BUKKAPATNAM",30.65,32.31,32.87,30.56,30.48,32.25,31.72,32.54,32.45,33.85
"ANANTAPUR","BUKKARAYASAMUDRAM",29.63,33.88,34.18,31.73,32.61,31.96,33.21,34.07,35.31,35.1
"ANANTAPUR","CHENNEKOTHAPALLE",31.23,32.24,33.07,30.91,31.37,32,32.21,32.53,33.34,33.82
"ANANTAPUR","CHILAMATHUR",27.23,28.94,31.14,28.38,28.95,29.64,29.33,29.9,30.18,30.81
"ANANTAPUR","DHARMAVARAM",31.53,33.27,34.14,31.75,32.54,32.88,32.6,33.49,33.62,34.7
"ANANTAPUR","DHIRCHAL",30.67,31.02,32.37,30.73,30.53,29.86,31.52,32.32,33.15,32.92
"ANANTAPUR","GANDLAPENTA",30.56,31.63,32.62,30.25,30.17,32.58,32.3,32.87,32.6,33.62
"ANANTAPUR","GARLADINNE",30.15,34.15,34.18,31.73,32.73,32.14,32.79,34.07,35.5,35.28
"ANANTAPUR","GOOTY",29.92,32.98,32.68,31.55,31.51,31.66,33.71,33.03,34.67,34.57
"ANANTAPUR","GORANTLA",28.44,29.79,32.07,29.67,29.86,30.86,30.75,31.04,32.02,32.37
"ANANTAPUR","GUDIBANDA",27.69,29.48,28.92,28.08,28.05,29.77,29.52,29.82,29.92,29.95
"ANANTAPUR","GUMMAGATTA",29.29,30.9,30.54,30.06,30.79,29.49,31.66,32.29,32.4,31.73
"ANANTAPUR","GUNTAKAL",29.84,32.98,32.68,31.55,31.51,31.66,33.71,33.03,34.67,34.57
"ANANTAPUR","HINDUPUR",27.51,28.98,31.31,28.83,28.78,30.25,30.18,30.12,30.65,31.37
"ANANTAPUR","KADIRI",30.51,32.42,32.5,30.63,30.43,32.13,32.21,32.56,32.23,34.01
"ANANTAPUR","KALYANDURG",28.11,30.98,30.07,29.36,31.25,29.88,31.32,31.74,32.26,32.73
"ANANTAPUR","KAMBADUR",28.19,30.65,31.65,28.95,30.26,30.1,31.69,30.85,32.26,32.4
"ANANTAPUR","KANAGANAPALLE",31.01,32.18,32.93,30.56,31.32,31.47,32.4,32.06,33.11,33.21
"ANANTAPUR","KANEKAL",30.65,32.82,32.42,31.05,31.67,30.1,32.19,32.85,33.56,33.62
