"DISTRICT","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801","D20190802","D20190803"
"Srikakulam",19.31,10.02,13.24,2.64,14.5,15.2,47.32,52.87,1.46
"Vizianagaram",49.83,7.94,21.1,1.24,10.57,15.01,49.21,41.52,6.05
"Visakhapatnam",39.43,23.71,15.92,2.83,11.45,16.08,41.83,31.26,9.54
"East Godavari",21.14,35.92,11.62,3.13,5.68,11.18,24.36,20.16,10.95
"West Godavari",12.16,24.29,5.84,1.82,8.51,7.08,16.44,12.02,7.77
"Krishna",6.64,25.27,1.21,0.4,4.93,2.7,7.23,5.92,3.89
"Guntur",3,29.19,0.18,0.23,0.94,0.9,1.64,2.77,3.34
"Prakasam",3.5,10.9,0.04,0.88,0.39,0.04,0.26,0.56,2.92
"Kurnool",6.46,3.25,0.61,1.81,0.45,0.53,0.47,1.91,3.3
"Anantapur",2.48,0.37,0.17,0.61,0.36,0.17,0.12,0.73,2.4
"Kadapa",2.69,0.71,0.07,0.1,0.12,0.09,0.04,0.17,0.2
"Chittoor",1.69,0.11,0.01,0.06,0.53,0.03,0,0.03,0.13
"Nellore",1.96,2.19,0.02,0.04,0.07,0.02,0,0.02,0.03
