"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-08-07 05:30:00,26.0589847564697,28.19,89.85,0,999.7156,18.6928725242615,245.95
"2",2019-08-07 08:30:00,26.5907230377197,29.74,91.98,2.94,1001.6288,19.9631315231323,242.05
"3",2019-08-07 11:30:00,29.1439456939697,35.18,80.13,1.61,999.8462,22.887441444397,254.26
"4",2019-08-07 14:30:00,30.8346195220947,37.75,72.02,0.140000000000001,998.2031,18.2329238891602,257.32
"5",2019-08-07 17:30:00,29.9222660064697,35.14,71.2,0.0699999999999994,998.1762,26.4073099136353,256.37
"6",2019-08-07 20:30:00,26.9520511627197,30.62,88.07,2.05,1000.0031,25.5037410736084,259.84
"7",2019-08-07 23:30:00,26.2708988189697,28.72,89.56,1.97,1000.665,22.0617124557495,261.24
"8",2019-08-08 02:30:00,25.9698734283447,27.92,88.69,0.800000000000001,998.9538,20.5284072875977,259.13
"9",2019-08-08 05:30:00,25.8824710845947,27.69,88.26,0.119999999999999,999.3781,17.2598201751709,233.54
"10",2019-08-08 08:30:00,28.8561038970947,33.66,76.65,0.0200000000000014,1000.7444,20.5939905166626,223.48
"11",2019-08-08 11:30:00,32.7713871002197,38.61,59.03,0.17,1000.3688,29.7770347595215,257.74
"12",2019-08-08 14:30:00,32.9276371002197,39.98,61.8,0.639999999999999,998.2425,26.0822450637817,245.22
"13",2019-08-08 17:30:00,30.9149417877197,38.44,73.5,1.28,998.3238,20.8443775177002,228.9
"14",2019-08-08 20:30:00,29.0179691314697,34.12,76.85,0.0800000000000001,1001.4775,22.0672107696533,227.1
"15",2019-08-08 23:30:00,27.7384281158447,31.75,82.07,0,1002.1588,19.3091274261475,217.46
"16",2019-08-09 02:30:00,26.9559574127197,29.94,83.22,0,1001.4744,17.6387489318848,217.15
"17",2019-08-09 05:30:00,27.3758792877197,30.31,77.47,0,1001.7525,18.1271109580994,229.57
"18",2019-08-09 08:30:00,30.2142581939697,35.08,68.03,0,1003.1769,20.6242561340332,232.62
"19",2019-08-09 11:30:00,33.3944320678711,39.06,55.96,0.00999999999999979,1002.8531,28.8571615219116,261.31
"20",2019-08-09 14:30:00,32.9901371002197,38.79,58,0.15,1001.2238,25.3220907211304,254.81
"21",2019-08-09 17:30:00,31.6180667877197,37.36,63.99,0.0299999999999994,1000.6625,20.8497711181641,234.11
"22",2019-08-09 20:30:00,30.0008792877197,34,65.51,0,1003.4456,18.6400437355042,225.43
"23",2019-08-09 23:30:00,29.3753910064697,33.2,68.15,0,1004.5156,18.3611515045166,236.23
"24",2019-08-10 02:30:00,28.3304691314697,31.87,73.6,0,1002.5906,16.0582119941711,245.15
"25",2019-08-10 05:30:00,26.8734378814697,29.55,81.06,0,1002.7031,12.4700145721436,242.56
"26",2019-08-10 08:30:00,30.3058109283447,35.26,67.9,0,1004.7925,17.3214955329895,259.49
"27",2019-08-10 11:30:00,33.5980453491211,39.14,54.81,0,1003.9812,26.223024559021,274.36
"28",2019-08-10 14:30:00,34.1305160522461,40.63,55.34,0.25,1001.7588,23.3366603851318,271.28
"29",2019-08-10 17:30:00,31.6129398345947,38.05,66.25,0.24,1001.3712,17.1926868438721,250.62
"30",2019-08-10 20:30:00,30.3199710845947,35.28,67.83,0,1003.7144,17.841148853302,237.44
"31",2019-08-10 23:30:00,29.2181644439697,33.27,70.34,0,1004.9819,18.1274997711182,235.93
"32",2019-08-11 02:30:00,28.2555179595947,31.7,73.53,0,1003.4719,17.6892963409424,254.92
"33",2019-08-11 05:30:00,26.9894046783447,29.69,79.72,0,1003.3025,14.4666295051575,261.77
"34",2019-08-11 08:30:00,30.2481937408447,34.59,65.67,0,1004.77,22.0518196105957,280.75
"35",2019-08-11 11:30:00,33.8087387084961,39.13,53.36,0,1004.0769,29.0765207290649,296.05
"36",2019-08-11 14:30:00,34.5409164428711,39.56,49.9,0,1001.3194,25.4854780197144,295.6
"37",2019-08-11 17:30:00,33.0208969116211,38.78,57.74,0,1000.4494,17.6857953071594,278.49
"38",2019-08-11 20:30:00,30.4173831939697,35.12,66.28,0,1003.4188,13.059027671814,265.58
"39",2019-08-11 23:30:00,29.5267581939697,33.96,70.19,0,1004.5238,14.2504812240601,248.52
"40",2019-08-12 02:30:00,29.1332035064697,32.91,69.41,0,1003.1725,17.3919651031494,271.41
"41",2019-08-12 05:30:00,28.7586917877197,32.04,69.01,0,1002.9356,21.7507032394409,280.66
"42",2019-08-12 08:30:00,30.4540042877197,34.77,64.52,0,1005.2044,24.5820550918579,291.44
"43",2019-08-12 11:30:00,33.5265121459961,39.5,56.28,0,1004.5706,23.7116134643555,295.72
"44",2019-08-12 14:30:00,34.8138656616211,40.77,51.38,0,1001.3544,24.4577156066895,296.3
"45",2019-08-12 17:30:00,33.8687973022461,39.83,54.94,0,1001.0888,15.2765098571777,293.12
"46",2019-08-12 20:30:00,30.6051273345947,35.82,67.28,0,1004.3538,11.5500529289246,275.37
"47",2019-08-12 23:30:00,29.9417972564697,33.98,65.99,0,1005.02,15.1850366592407,259.83
"48",2019-08-13 02:30:00,29.5218753814697,33.3,67.13,0,1003.6781,17.1634065628052,265.45
"49",2019-08-13 05:30:00,28.7979984283447,32.64,71.95,0.0299999999999994,1003.9125,19.02744140625,284.02
"50",2019-08-13 11:30:00,34.1659164428711,40.77,55.45,0.16,1005.3544,24.5854591369629,304.02
"51",2019-08-13 17:30:00,33.6061019897461,40.46,58.35,0.48,1002.1725,15.3734195709229,310.28
"52",2019-08-13 23:30:00,30.4435062408447,35.42,67.23,0,1006.2744,14.732569026947,236.83
"53",2019-08-14 05:30:00,28.5819339752197,32.65,74.76,0.34,1004.9988,16.4446002960205,268.42
"54",2019-08-14 11:30:00,33.5870590209961,40.61,58.85,0.0299999999999994,1006.2631,21.8881284713745,299.26
"55",2019-08-14 17:30:00,33.6419906616211,40.94,59.33,0.0300000000000011,1002.3231,13.5759532928467,314.77
"56",2019-08-14 23:30:00,29.8336429595947,34.78,70.6,0.119999999999999,1007.55,17.1792826652527,221.87
"57",2019-08-15 05:30:00,27.3009281158447,31.63,88.4,0.19,1006.0875,11.96199259758,238.92
"58",2019-08-15 11:30:00,33.9544906616211,41.87,59.56,0.120000000000001,1006.1644,20.7197101593018,294.28
"59",2019-08-15 17:30:00,32.5899906158447,40.45,65.54,0.58,1002.7788,9.06491889953613,226.33
"60",2019-08-15 23:30:00,28.0565433502197,34.17,89.99,1.13,1007.0612,12.9638388633728,234.72
"61",2019-08-16 05:30:00,26.6656742095947,30.8,93.76,1.65,1005.4369,12.9567981719971,230.33
"62",2019-08-16 11:30:00,33.9371566772461,41.87,59.67,0.0300000000000011,1005.5506,22.1623506546021,307.8
"63",2019-08-16 17:30:00,32.4151859283447,40.57,67.16,0.449999999999999,1002.2019,7.0798161149025,295.53
"64",2019-08-16 23:30:00,28.0089359283447,33.49,87.57,0.77,1006.1725,13.6286430358887,253.53
"65",2019-08-17 05:30:00,26.4527835845947,29.54,94.5,3.54,1005.0825,11.7978006362915,238.76
