"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,38.41,39.29,38.55,38.14,38.98,40.01,40.85,40.99,41.53,41.98
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,33.28,34.42,33.2,33.99,35.25,35.48,36.93,36.49,36.59,36.05
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,30.4,31.42,31.44,31.44,33.11,33.66,34.82,34.66,34.59,34.51
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,38.59,39.47,38.75,38.62,39.05,40.24,41.12,41.23,41.73,42.11
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,33.56,34.96,34.13,33.2,34.84,35.17,34.82,35.25,34.62,35.37
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,36.06,37.83,35.92,35.33,37.79,37.56,38.71,39.51,39.47,39.11
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,39.1,40.13,39.41,39.94,39.34,40.43,41.65,42.01,42.14,42.92
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,34.1,36.25,35.22,34.58,37.41,36.8,38.07,38.74,39.1,38.55
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,31.69,34.4,33.84,32.7,34.77,34.79,34.37,34.81,34.27,34.66
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,32.71,35.16,33.06,33.72,35.29,35.49,35.97,35.78,35.25,36.12
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,35.53,37.68,36.05,35.45,38.15,37.51,38.81,39.53,39.83,39.41
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,31.39,34.62,33.38,32.71,34.94,34.72,34.32,35.08,34.44,34.58
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,33.56,34.96,34.13,33.2,34.84,35.17,34.82,35.25,34.62,35.37
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,38.52,39.08,39.32,39.58,39.33,40.28,41.48,43.19,42.36,42.07
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,35.53,37.68,36.05,35.45,38.15,37.51,38.81,39.53,39.83,39.41
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,36.06,37.83,35.92,35.33,37.79,37.56,38.71,39.51,39.47,39.11
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,33.28,34.42,33.2,33.99,35.25,35.48,36.93,36.49,36.59,36.05
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,35.53,37.68,36.05,35.45,38.15,37.51,38.81,39.53,39.83,39.41
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,33.25,34.09,33.31,33.96,35.08,35.44,36.9,36.6,36.61,36.42
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,31.69,34.4,33.84,32.7,34.77,34.79,34.37,34.81,34.27,34.66
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,37.24,38.39,36.77,36.41,38.27,38.49,39.98,40.49,40.39,40.71
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,38.92,40.05,39.74,39.9,39.48,40.47,41.82,42.06,42.45,43.04
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,28.95,29.7,30.5,30.04,32.93,33.13,33.69,33.86,33.7,33.97
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,32.96,34.79,32.95,33.65,35.04,35.47,35.85,35.71,34.93,36.04
25,1315003,"KURNOOL","JUPADUBUNGALOW","Tangadancha",78.353557,15.866583,33.28,34.42,33.2,33.99,35.25,35.48,36.93,36.49,36.59,36.05
26,820013,"PRAKASAM","MARTUR","BollaPalle",80.09087,15.883023,38.59,39.47,38.75,38.62,39.05,40.24,41.12,41.23,41.73,42.11
27,1301010,"KURNOOL","KOWTHALAM","Chudi",77.14523,15.85101,31.39,34.62,33.38,32.71,34.94,34.72,34.32,35.08,34.44,34.58
28,814004,"PRAKASAM","MUNDLAMURU","Purimetla",79.845342,15.879728,38.04,38.95,37.21,37.18,38.88,39.03,40.57,40.88,41.16,41.61
29,1305005,"KURNOOL","CBELAGAL","Kothakota1",77.797096,15.863397,32.96,34.79,32.95,33.65,35.04,35.47,35.85,35.71,34.93,36.04
30,1307008,"KURNOOL","KURNOOL","Nidzur",77.97209,15.86234,32.72,35.21,33.11,33.75,35.26,35.5,36.14,36.11,35.54,36.1
31,1302024,"KURNOOL","KOSIGI","Kosigi1",77.247141,15.839242,30.9,34.52,32.83,32.01,34.3,34.46,33.97,34.16,34.16,34.35
32,757019,"GUNTUR","BAPATLA","Adivi",80.486393,15.850878,38.84,39.83,39.66,39.86,39.58,40.51,41.86,42.25,42.77,42.86
33,814010,"PRAKASAM","MUNDLAMURU","Marella",79.886427,15.871709,38.41,39.28,38,37.76,39.05,39.63,40.68,41.09,41.55,41.96
34,814006,"PRAKASAM","MUNDLAMURU","Vemula1",79.76763,15.869017,38.04,38.95,37.21,37.18,38.88,39.03,40.57,40.88,41.16,41.61
35,1303013,"KURNOOL","MANTRALAYAM","Sunkeswari",77.346557,15.85722,32.46,35.31,34.02,32.87,34.77,34.8,34.5,34.64,34.2,35.1
36,1308007,"KURNOOL","NANDIKOTKUR","Allur1",78.201215,15.870373,33.15,35.13,33.58,34.08,35.44,35.53,37,37.37,36.46,36.36
37,807013,"PRAKASAM","DORNALA","Nallaguntla",78.925441,15.869878,27.74,28.43,29.22,28.85,31.45,31.9,32.44,32.16,32.23,32.56
38,804018,"PRAKASAM","KURICHEDU","Peddavaram",79.638402,15.869502,36.82,38.21,36.52,35.95,37.91,38.27,39.64,40.03,39.92,39.88
39,1311007,"KURNOOL","ATMAKURKURNOOL","Krishnapuram1",78.639276,15.877106,32.5,33.5,33.3,33.4,34.71,35.29,36.77,36.57,36.4,36.41
40,825001,"PRAKASAM","INKOLLU","Nagandla",80.146407,15.880184,38.59,39.47,38.75,38.62,39.05,40.24,41.12,41.23,41.73,42.11
41,890901,"PRAKASAM","PEDAARAVEEDU","Forest",79.272004,15.877625,35.53,37.68,36.05,35.45,38.15,37.51,38.81,39.53,39.83,39.41
42,744020,"GUNTUR","NUZENDLA","Thimmapuram",79.744318,15.87715,37.24,38.39,36.77,36.41,38.27,38.49,39.98,40.49,40.39,40.71
43,804009,"PRAKASAM","KURICHEDU","NamassivayaPuram",79.60792,15.881807,36.82,38.21,36.52,35.95,37.91,38.27,39.64,40.03,39.92,39.88
44,1302023,"KURNOOL","KOSIGI","Pendekal",77.26401,15.853554,32.46,35.31,34.02,32.87,34.77,34.8,34.5,34.64,34.2,35.1
45,1301012,"KURNOOL","KOWTHALAM","Karani1",77.177816,15.85531,31.69,34.4,33.84,32.7,34.77,34.79,34.37,34.81,34.27,34.66
46,1315007,"KURNOOL","JUPADUBUNGALOW","Bannur",78.398107,15.860723,33.28,34.42,33.2,33.99,35.25,35.48,36.93,36.49,36.59,36.05
47,1314004,"KURNOOL","PAMULAPADU","Iskala",78.51594,15.859633,33.25,34.09,33.31,33.96,35.08,35.44,36.9,36.6,36.61,36.42
48,807011,"PRAKASAM","DORNALA","Pedamanthanala",78.891419,15.881823,27.74,28.43,29.22,28.85,31.45,31.9,32.44,32.16,32.23,32.56
49,1304013,"KURNOOL","NANDAVARAM","Ponakaladinne",77.595749,15.843108,34.11,34.88,32.42,33.23,34.47,35.53,35.26,34.87,35.17,34.87
50,757020,"GUNTUR","BAPATLA","MaruproluvaripalemRural",80.469103,15.876046,38.84,39.83,39.66,39.86,39.58,40.51,41.86,42.25,42.77,42.86
51,1305009,"KURNOOL","CBELAGAL","C.Belagal",77.662399,15.831281,33.31,34.58,32.14,33.32,34.47,35.31,35.41,35,35.12,35.36
52,1302026,"KURNOOL","KOSIGI","Vandagallu",77.202795,15.844364,30.9,34.52,32.83,32.01,34.3,34.46,33.97,34.16,34.16,34.35
53,1302025,"KURNOOL","KOSIGI","Nelakosigi",77.227482,15.845152,30.9,34.52,32.83,32.01,34.3,34.46,33.97,34.16,34.16,34.35
54,1308009,"KURNOOL","NANDIKOTKUR","NandiKotkur1",78.257581,15.855879,33.1,34.85,33.3,34.02,35.3,35.47,37.02,36.9,36.56,36.25
55,1307006,"KURNOOL","KURNOOL","Basavapuram",77.91545,15.849253,32.26,35.27,32.71,33.47,34.92,35.34,35.92,35.93,35.4,35.82
56,1307014,"KURNOOL","KURNOOL","E.Thandrapadu",78.050918,15.857393,32.96,35.07,33.23,33.82,35.3,35.54,36.46,36.71,35.9,36.09
57,822006,"PRAKASAM","KARAMCHEDU","Swarna",80.284883,15.858035,39.1,40.13,39.41,39.94,39.34,40.43,41.65,42.01,42.14,42.92
58,826002,"PRAKASAM","JANAKAVARAMPANGULU","KondaManjulur",80.08506,15.866574,38.59,39.47,38.75,38.62,39.05,40.24,41.12,41.23,41.73,42.11
59,1301018,"KURNOOL","KOWTHALAM","Katriki",77.08266,15.84308,31.73,34.75,32.98,32.4,34.58,34.91,34.28,34.72,34.47,34.37
60,822004,"PRAKASAM","KARAMCHEDU","Daggubadu",80.214696,15.869375,39.06,40.05,39.21,39.66,39.38,40.54,41.62,41.68,42.06,42.73
61,806009,"PRAKASAM","PEDAARAVEEDU","Badveedu",79.202687,15.867748,34.1,36.25,35.22,34.58,37.41,36.8,38.07,38.74,39.1,38.55
62,816007,"PRAKASAM","ADDANKI","ChakrayaPalem",79.953379,15.870226,38.41,39.29,38.55,38.14,38.98,40.01,40.85,40.99,41.53,41.98
63,805006,"PRAKASAM","DONAKONDA","RudraSamudram",79.407898,15.854422,36.06,37.83,35.92,35.33,37.79,37.56,38.71,39.51,39.47,39.11
