"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"ANANTAPUR","AGALI",32.02,31.17,30.21,28.8,29.9,30.37,32.03,32.04,31.36,31.57
"ANANTAPUR","AMADAGUR",33.76,33.22,33.07,30.31,33.3,33.79,32.3,32.51,33.78,33.29
"ANANTAPUR","AMARAPURAM",31.46,32.22,31.81,30.15,30.57,32.05,33.07,32.7,32.99,33.5
"ANANTAPUR","ANANTAPURMANDAL",35.27,36.02,34.69,33.72,35.02,37.13,34.68,37.08,36.38,36.46
"ANANTAPUR","ATMAKUR",33.84,34.69,33.56,32.5,33.53,35.08,34.17,35.7,35.35,35.09
"ANANTAPUR","BATHALAPALLE",35.78,36.95,35.14,33.89,35.85,37.37,35.63,37.32,37,36.23
"ANANTAPUR","BELUGUPPA",33.03,32.83,32.63,31.3,32.24,33.38,33.41,33.82,33.9,33.54
"ANANTAPUR","BOMMANAHAL",32.77,33.93,32.66,31.28,33.17,34.19,34.24,35.28,34.05,35.23
"ANANTAPUR","BRAHMASAMUDRAM",33.96,32.43,31.2,30.95,31.45,32.5,32.95,33.78,33.27,33.41
"ANANTAPUR","BUKKAPATNAM",34.15,34.51,33.78,32.29,33.8,35.19,33.34,34.21,34.94,34.27
"ANANTAPUR","BUKKARAYASAMUDRAM",35.27,36.02,34.69,33.72,35.12,37.13,34.68,37.08,36.64,36.5
"ANANTAPUR","CHENNEKOTHAPALLE",34.47,35.59,34.22,33.01,34.43,36.63,34.9,35.82,35.49,35.57
"ANANTAPUR","CHILAMATHUR",32.21,31.64,31.96,29.38,31.82,32.68,31.47,32.46,32.22,31.57
"ANANTAPUR","DHARMAVARAM",35.71,36.74,35.14,33.57,35.49,37.32,35.14,37.04,36.74,35.8
"ANANTAPUR","DHIRCHAL",32.68,32.73,31.95,30.85,32.26,33.65,33.77,34.17,33.29,34.54
"ANANTAPUR","GANDLAPENTA",34.1,34.1,34.26,31.72,34.26,34.1,33.74,33.57,35.17,34.03
"ANANTAPUR","GARLADINNE",35.27,36.02,34.69,33.9,35.26,37.16,34.75,37.08,36.36,36.46
"ANANTAPUR","GOOTY",33.17,34.53,32.94,32.98,34.84,36.13,35.26,36.31,35.6,35.98
"ANANTAPUR","GORANTLA",33.33,33.43,31.9,30.47,33.56,34.35,32.79,32.73,33,33.75
"ANANTAPUR","GUDIBANDA",31.24,31.1,30.41,29.36,29.99,31.75,32.23,32.48,32.49,32.41
"ANANTAPUR","GUMMAGATTA",33.58,32.43,31.48,31.03,31.91,33.34,32.91,33.09,32.88,32.99
"ANANTAPUR","GUNTAKAL",33.17,34.08,32.94,32.98,34.49,36.13,34.25,36.27,35.6,35.04
"ANANTAPUR","HINDUPUR",33.09,32.24,32.17,29.74,31.39,33.3,32.34,33.47,32.84,32
"ANANTAPUR","KADIRI",33.59,34.51,34.11,32.73,34.61,35.04,33.76,34.63,35.38,34.25
"ANANTAPUR","KALYANDURG",33.09,33.06,32.38,30.81,31.62,33.64,32.78,33.86,33.6,33.54
"ANANTAPUR","KAMBADUR",32.98,33.06,32.53,30.89,31.62,33.64,32.64,33.86,33.53,33.54
"ANANTAPUR","KANAGANAPALLE",34.19,34.4,33.58,32.45,33.99,35.83,34.78,35.27,34.84,35.1
"ANANTAPUR","KANEKAL",33.06,33.57,32.71,31.53,33.02,34.19,34.06,34.44,34.09,34.83
"ANANTAPUR","KOTHACHERUVU",34.48,35.27,33.53,32.26,34.24,36.1,34.55,35.05,34.32,35.44
"ANANTAPUR","KUDAIR",34.36,35.65,34.35,33.28,34.37,36.25,34.39,36.65,36.02,35.79
"ANANTAPUR","KUNDURPI",32.27,31.56,31.43,29.93,30.71,32.36,32.13,32.28,32.49,33.01
"ANANTAPUR","LEPAKSHI",33.09,32.24,32.17,29.62,31.39,33.25,32.14,33.4,32.84,31.66
"ANANTAPUR","MADAKASIRA",32.9,32.16,31.78,29.62,31.17,33.58,32.49,33.71,32.97,32.31
"ANANTAPUR","MUDIGUBBA",35.78,36.95,35.14,34.29,35.85,37.63,35.63,37.65,37.18,36.35
