"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"ANANTAPUR","AGALI",3.01,3.1,4.06,4.02,1.19,1.65,4.85,5.25,2.83,9.24
"ANANTAPUR","AMADAGUR",0.92,0.59,0.09,0.43,0.37,0.52,1.1,1.29,2.86,4.03
"ANANTAPUR","AMARAPURAM",6.13,7.44,5.69,3.54,0.579999999999998,1.35,8.54,4.21,9.8,9.61
"ANANTAPUR","ANANTAPURMANDAL",8.34,1.25,0.99,0.64,0.58,0.61,1.44,2.47,3.08,2.83
"ANANTAPUR","ATMAKUR",10.47,1.39,1.57,0.949999999999999,0.49,0.42,1.44,0.91,3.08,2.41
"ANANTAPUR","BATHALAPALLE",2.33,1.24,0.42,0.33,0.58,0.67,1.77,1.41,2.44,2.99
"ANANTAPUR","BELUGUPPA",11.32,1.33,4.24,1.58,0.550000000000001,0.98,1.55,2.66,7.02,7.66
"ANANTAPUR","BOMMANAHAL",11.31,1.34,4.78,0.24,0.43,1.16,3.3,4.82,7.39,5.46
"ANANTAPUR","BRAHMASAMUDRAM",6.5,2.27,9.19,1.9,0.849999999999998,1.04,2.75,3.93,14.25,6.32
"ANANTAPUR","BUKKAPATNAM",1.61,1.46,0.24,0.4,0.91,0.68,1.49,3.05,2.87,3.6
"ANANTAPUR","BUKKARAYASAMUDRAM",8.09,1.38,0.779999999999999,0.459999999999999,0.609999999999999,0.550000000000001,1.28,2.47,2.32,3.63
"ANANTAPUR","CHENNEKOTHAPALLE",1.11,1.16,0.61,0.55,0.8,0.54,4.49,2.44,4.85,5.25
"ANANTAPUR","CHILAMATHUR",1.62,1,0.49,0.55,1.1,1.59,3.97,5.53,4.89,10.83
"ANANTAPUR","DHARMAVARAM",1.21,1.46,0.42,0.45,0.73,0.67,1.77,2.44,2.99,4.3
"ANANTAPUR","DHIRCHAL",10.12,1.17,6.65,0.34,0.459999999999999,1.13,3.36,4.12,6.99,5.46
"ANANTAPUR","GANDLAPENTA",0.98,1.1,0.12,0.52,0.15,0.31,0.79,1.16,1.95,3.11
"ANANTAPUR","GARLADINNE",10.52,1.24,1.21,0.43,0.82,0.790000000000001,1.56,2.81,3.32,2.96
