"DISTRICT","D20190807","D20190808","D20190809","D20190810","D20190811","D20190812","D20190813","D20190814","D20190815","D20190816"
"Srikakulam",94,93.31,92.3,94.49,95.38,95.47,93.72,94.6,95.36,96.62
"Vizianagaram",94.92,94.66,94.87,92.36,95.7,96.38,92.57,93.01,94.5,95.84
"Visakhapatnam",92.5,95.23,93.39,89.36,89.55,93.42,90.86,92.62,94.63,94.91
"East Godavari",92.5,93.21,90.38,85.75,83.51,86.19,86.77,92.35,95.35,95.53
"West Godavari",91.29,90.66,85.45,83.06,78.77,79.43,83.7,88.63,94.05,95.03
"Krishna",90.73,87.83,79.21,79.16,75.89,73.64,75.63,81,90.15,93.16
"Guntur",90.02,85.07,76.84,76.67,74.76,71.54,73.62,78.34,87.55,90.43
"Prakasam",86.21,86.95,72.52,73.53,75,74.89,76.5,82.51,86.54,86
"Kurnool",84.98,80.94,79.52,80.91,80.23,84.86,85.12,87.13,89.81,88.55
"Anantapur",80.51,77.4,80.99,82.96,80.08,83.16,83.39,84.22,83.95,85.67
"Kadapa",70.35,70.93,68.28,70.32,70.54,77,75.6,77.18,80.19,81.88
"Chittoor",70.8,72.75,70.5,69.48,70.4,80.62,82.57,83.38,83.05,88.13
"Nellore",69.85,75.46,67.33,65.51,66.86,78.06,82.63,87.24,88.98,89.14
