"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,32.62,33.26,33.1,33.43,34.57,35.81,35.43,35.8,35.38,35.7
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,28.99,29.99,29.32,29.83,31.1,31.49,32.01,31.61,31.9,30.71
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,27.28,27.93,28.3,28.13,29.51,30.06,30.47,30.2,30.37,29.82
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,32.68,33.33,33.39,33.74,34.65,35.81,35.73,35.88,35.49,35.81
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,29.72,30.94,30.69,29.97,31.6,32.24,31.7,31.56,31.22,32.3
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,30.69,31.93,31.43,31.33,33.21,33.47,34.26,34.42,34.19,33.98
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,32.76,33.65,33.82,34.38,34.7,35.53,35.96,35.95,35.66,35.95
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,29.4,30.96,30.99,30.63,33.07,32.95,33.67,34.13,34.22,33.87
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,28.44,30.96,30.6,29.86,31.65,31.8,31.62,31.68,31.53,31.78
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,29.11,30.72,29.83,30.32,31.81,32.38,32.34,32.01,31.56,32.17
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,30.35,31.76,31.54,31.29,33.51,33.37,34.26,34.48,34.52,34.26
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,28.22,31.02,30.19,29.94,31.7,31.66,31.6,31.98,31.64,31.5
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,29.72,30.94,30.69,29.97,31.6,32.24,31.7,31.56,31.22,32.3
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,31.55,32.16,33.41,33.47,33.9,34.35,34.88,34.95,34.58,34.41
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,30.35,31.76,31.54,31.29,33.51,33.37,34.26,34.48,34.52,34.26
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,30.69,31.93,31.43,31.33,33.21,33.47,34.26,34.42,34.19,33.98
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,28.99,29.99,29.32,29.83,31.1,31.49,32.01,31.61,31.9,30.71
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,30.35,31.76,31.54,31.29,33.51,33.37,34.26,34.48,34.52,34.26
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,28.96,29.96,29.43,29.76,30.96,31.33,31.86,31.49,31.68,30.7
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,28.44,30.96,30.6,29.86,31.65,31.8,31.62,31.68,31.53,31.78
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,31.65,32.4,31.71,32.21,33.84,34.33,34.87,35.05,34.66,34.98
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,32.55,33.54,33.96,34.3,34.68,35.42,35.99,36.14,35.77,35.77
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,26.6,27.12,28.05,27.41,29.74,30.14,30.43,30.71,30.39,30.53
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,29.25,30.58,29.85,30.3,31.56,32.33,32.29,31.87,31.13,32.06
