"DISTRICT","MANDAL","2019-08-07 05:30:00","2019-08-07 08:30:00","2019-08-07 11:30:00","2019-08-07 14:30:00","2019-08-07 17:30:00","2019-08-07 20:30:00","2019-08-07 23:30:00","2019-08-08 02:30:00","2019-08-08 05:30:00","2019-08-08 08:30:00","2019-08-08 11:30:00","2019-08-08 14:30:00","2019-08-08 17:30:00","2019-08-08 20:30:00","2019-08-08 23:30:00","2019-08-09 02:30:00","2019-08-09 05:30:00","2019-08-09 08:30:00","2019-08-09 11:30:00","2019-08-09 14:30:00","2019-08-09 17:30:00","2019-08-09 20:30:00","2019-08-09 23:30:00","2019-08-10 02:30:00","2019-08-10 05:30:00","2019-08-10 08:30:00","2019-08-10 11:30:00","2019-08-10 14:30:00","2019-08-10 17:30:00","2019-08-10 20:30:00","2019-08-10 23:30:00","2019-08-11 02:30:00","2019-08-11 05:30:00","2019-08-11 08:30:00","2019-08-11 11:30:00","2019-08-11 14:30:00","2019-08-11 17:30:00","2019-08-11 20:30:00","2019-08-11 23:30:00","2019-08-12 02:30:00","2019-08-12 05:30:00","2019-08-12 08:30:00","2019-08-12 11:30:00","2019-08-12 14:30:00","2019-08-12 17:30:00","2019-08-12 20:30:00","2019-08-12 23:30:00","2019-08-13 02:30:00","2019-08-13 05:30:00","2019-08-13 11:30:00","2019-08-13 17:30:00","2019-08-13 23:30:00","2019-08-14 05:30:00","2019-08-14 11:30:00","2019-08-14 17:30:00","2019-08-14 23:30:00","2019-08-15 05:30:00","2019-08-15 11:30:00","2019-08-15 17:30:00","2019-08-15 23:30:00","2019-08-16 05:30:00","2019-08-16 11:30:00","2019-08-16 17:30:00","2019-08-16 23:30:00","2019-08-17 05:30:00"
"ANANTAPUR","AGALI",23.48,25.83,29.07,28.79,25.36,23.05,23.04,23.06,23.37,24.9,27.99,28.22,24.98,23.56,22.71,21.63,21.55,24.28,25.91,27.26,24.35,22.41,21.66,21.92,21.31,21.73,24.68,26.29,23.94,22.63,22.2,22.1,21.76,24.19,27.03,27.56,25.52,23.4,21.59,21.49,20.98,24.25,26.73,27.56,25.24,23.03,21.77,21.37,21.08,28.03,25.03,21.74,21.27,27.81,24.42,21.79,21.64,27.35,25.5,21.85,21.28,27.42,23.98,21.43,21.06
"ANANTAPUR","AMADAGUR",24.22,26.98,29.77,30.82,27.25,25.06,24.4,24.13,24.27,26.45,30.4,30.37,26.96,24.94,24.35,23.97,23.86,25.42,30.88,29.85,27.71,25.31,24.5,23.61,23.42,25.45,27.41,27.85,26.6,24.44,23.62,23.18,22.93,26.3,29,30.99,28.27,25.34,23.67,22.56,21.98,25.95,29.45,31.35,28.71,24.79,23.6,22.38,21.91,29.01,27.31,23.46,21.97,29.2,28.36,23.44,22.27,30.41,27.51,23.18,22.23,29.75,26.71,23.27,21.81
"ANANTAPUR","AMARAPURAM",23.9,25.79,27.6,27.91,25.34,24.5,23.91,23.66,23.9,25.06,28.72,28.13,23.73,23.28,23.11,22.22,22.17,23.28,28.16,26.52,24.48,23.19,22.52,22.36,21.9,22.99,26.66,27.21,25.18,23.68,23.05,22.72,22.27,24.78,27.76,27.96,26.33,23.7,22.51,21.98,22.35,24.83,27.65,28.85,26.4,24.34,22.88,22.29,22.44,28.78,25.73,22.49,22.29,28.32,26.08,22.66,22.02,28.53,25.68,22.54,22.2,28.7,26.45,22.54,22.02
"ANANTAPUR","ANANTAPURMANDAL",25.61,28.2,30.83,30.82,27.58,25.59,24.58,25,25.19,27.98,30.16,31.8,27.88,26.08,25.57,25.46,25.14,26.98,30.88,30.33,28.15,26.63,25.73,24.94,24.45,26.2,28.69,30.04,27.61,26.18,25.22,24.69,24.55,27.4,31.59,31.74,30.01,26.78,25.03,24.12,23.56,27.09,30.95,33.52,30.74,27.53,25.68,24.38,24.03,30.17,29.79,25.6,23.97,32.07,29.88,25.54,24.14,31.92,29.7,25.2,23.98,31.73,29.96,25.2,23.86
"ANANTAPUR","ATMAKUR",24.89,27,29.43,29.63,26.55,24.86,24.29,24.27,24.29,26.59,29.05,30.02,26.51,25.08,24.54,24.28,23.94,25.81,29.3,28.94,26.7,25.45,24.5,23.8,23.64,25.15,26.91,28.49,26.13,24.96,24.16,23.65,23.44,25.9,29.79,29.88,28.58,25.4,23.93,23.01,22.59,25.88,29.68,31.13,29.9,26.64,24.75,23.52,23.13,29.59,29.28,24.69,23.08,30.43,28.92,24.79,23.38,30.83,29.01,24.54,23.21,30.48,29.24,24.6,23.08
"ANANTAPUR","BATHALAPALLE",26.22,28.31,31.27,31.91,28.69,26.8,26.19,26.11,26.04,28.81,31.08,32.87,29.15,26.56,25.88,25.74,25.63,27.31,31.32,31.18,28.91,27.19,26.47,25.63,25.19,27.1,30.52,30.74,28.78,26.8,25.69,25.1,25.02,27.86,32,32.67,30.16,27.45,25.7,24.52,23.87,27.47,29.95,33.72,31.09,26.89,26.35,24.8,24.17,30.57,29.89,26.07,24.16,32.35,30.47,26.07,24.55,32.41,29.65,25.54,24.28,31.67,30.1,25.48,24
"ANANTAPUR","BELUGUPPA",24.67,26.64,29.08,28.44,25.63,23.92,23.4,23.64,23.77,25.9,28.9,29.21,25.32,24.86,24.46,24,23.34,25.03,28.69,27.58,25.82,24.94,23.58,23.03,22.97,23.96,26.61,28.11,25.22,24.44,23.86,23.47,23.16,25.5,28.78,29.03,27.58,24.7,23.26,22.54,22.29,25.75,29.12,30.2,28.12,25.15,23.79,22.85,22.83,29.04,28.14,23.54,22.52,29.01,27.5,23.65,22.55,29.53,27.73,23.34,22.37,29.03,26.87,23.43,22.2
"ANANTAPUR","BOMMANAHAL",24.78,26.4,28.5,27.21,24.14,23.7,23.29,23.95,24.52,26.61,29.32,29.97,26.34,25.08,24.72,24.25,23.86,25.37,27.94,28.58,26.07,25.14,23.73,23.31,23.44,24.71,27.54,28.02,26.16,24.87,24.11,23.82,23.49,25.51,28.61,29.99,28.52,25.07,23.67,22.85,22.31,26.36,29.14,30.58,28.59,25.79,24.22,23.24,23.05,29.74,28.2,23.69,23.13,30.07,27.55,23.91,22.89,29.67,27.81,23.57,22.81,29.94,28.12,23.67,22.56
"ANANTAPUR","BRAHMASAMUDRAM",24.53,26.45,30.05,28.24,25.89,23.87,23.18,23.72,24.05,25.25,27.99,28.88,24.81,24.58,24.22,23.53,23.28,24.93,27.52,26.68,25.29,24.42,22.92,22.61,22.36,22.98,26.8,27.9,25.19,24.01,23.55,23.36,22.94,25.25,28.68,28.17,27.02,24.21,22.89,22.37,22.4,25,28.54,29.08,27.42,24.67,23.33,22.71,22.88,28.85,27.12,23.1,22.27,28.99,26.83,23.26,22.66,28.6,25.87,22.98,22.54,28.81,26.62,23.09,22.27
"ANANTAPUR","BUKKAPATNAM",25.23,27.4,29.71,30.83,27.75,26.03,25.44,25.2,25.26,27.22,31.05,31.21,28.24,25.78,25.21,24.8,24.97,26.79,30.64,30.35,28.16,26.11,25.48,24.63,24.31,26.15,28.99,29.68,27.52,25.84,24.69,24.07,24.11,26.8,30.84,31.17,28.99,26.54,24.78,23.68,23.07,26.7,29.76,32.1,30.26,26.43,25.33,23.88,23.22,29.73,27.81,24.88,23.19,30.26,28.78,24.9,23.43,31.05,28.92,24.38,23.31,30.05,28.6,24.45,23.12
