"DISTRICT","D20190807","D20190808","D20190809","D20190810","D20190811","D20190812","D20190813","D20190814","D20190815","D20190816"
"Srikakulam",16.21,18.68,11.59,6.84,6.58,6.51,5.9,6.3,8.29,6.28
"Vizianagaram",12.87,13.83,9.35,5.46,4.7,4.3,4.46,4.3,5.63,4.27
"Visakhapatnam",24.38,19.47,14.95,12.52,9.99,8.69,8.85,9.16,8.78,7.99
"East Godavari",21.13,17.4,13.17,12.74,12.43,10.22,10.21,9.54,9.1,8.93
"West Godavari",20.6,17.87,14.06,13.23,13.56,12,10.85,10.38,9.56,10.01
"Krishna",19.99,18.36,15.82,14.01,14.53,13.78,12.59,12.48,10.15,10.35
"Guntur",18.92,17.74,15.87,13.53,14.63,15.11,14.29,12.81,10.11,9.63
"Prakasam",21.91,19.71,18.17,15.46,16.37,15.98,15.18,14.03,12.84,12.13
"Kurnool",23.28,21.91,21.05,18.5,19.19,16.27,15.33,14.55,13.99,14.14
"Anantapur",28.35,28.39,24.29,21.26,23.14,19.72,17.84,17.32,16.98,16.66
"Kadapa",23.11,20.29,20.32,18.66,20.66,18.06,17.52,16.12,15.49,15.01
"Chittoor",21.36,20.2,18.18,16.3,17.9,16.29,14.81,13.86,13.81,12.95
"Nellore",20.15,17.32,15.56,14.75,16.78,15.29,14.11,12.74,11.87,12.42
