"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"ANANTAPUR","AGALI",36.1473026275635,37.1081771850586,32.4838737487793,25.4720043182373,29.413260269165,24.7609348297119,20.8358270645142,18.8033443450928,21.2373567581177,17.5664039611816
"ANANTAPUR","AMADAGUR",40.2600276947022,37.2834674835205,37.6479080200195,31.7429557800293,33.5131622314453,29.5634536743164,21.6322088241577,21.1858583450317,23.915612411499,22.001503944397
"ANANTAPUR","AMARAPURAM",35.9772857666016,37.0927139282227,34.3609222412109,26.7372825622559,30.3445953369141,23.8319051742554,21.7967926025391,18.6890247344971,20.2676776885986,17.7385974884033
"ANANTAPUR","ANANTAPURMANDAL",48.5233257293701,49.8093955993652,47.9731990814209,32.8111839294434,37.8600299835205,28.4963842391968,25.356601524353,28.2969463348389,25.9735868453979,27.7871789932251
"ANANTAPUR","ATMAKUR",52.2459674835205,53.2578426361084,47.9731990814209,34.6461135864258,39.5219661712647,31.3994510650635,26.7211652755737,28.9318496704102,27.796884727478,30.7879726409912
"ANANTAPUR","BATHALAPALLE",37.7013736724854,38.5907272338867,37.5280197143555,30.9390483856201,30.847017288208,25.1381916046143,22.0643697738647,21.3864944458008,22.1792713165283,20.4258808135986
"ANANTAPUR","BELUGUPPA",49.2748077392578,50.1396034240723,47.1756397247314,36.8788238525391,38.8343421936035,31.3671581268311,25.5213603973389,25.8789808273315,27.3732570648193,28.4644123077393
"ANANTAPUR","BOMMANAHAL",33.3098121643066,40.9389450073242,38.0473777770996,30.8722171783447,30.8197162628174,25.3508611679077,20.7973388671875,17.6510725021362,20.8310857772827,18.6366165161133
"ANANTAPUR","BRAHMASAMUDRAM",37.9434951782227,37.6386074066162,31.1235397338867,30.5319808959961,31.0598739624023,24.854344367981,21.8656219482422,18.0349794387817,21.1177379608154,18.4479297637939
"ANANTAPUR","BUKKAPATNAM",34.0082920074463,33.5719459533691,37.4890216827393,28.6220867156982,30.8799659729004,26.0459936141968,21.9056018829346,19.4585020065308,22.5581331253052,21.0671974182129
"ANANTAPUR","BUKKARAYASAMUDRAM",39.5893226623535,40.8276329040527,42.8748664855957,30.1178787231445,33.2408660888672,24.1199323654175,22.4343515396118,23.2146915435791,22.9012258529663,21.1833555221558
"ANANTAPUR","CHENNEKOTHAPALLE",39.8371982574463,38.9969741821289,35.2246467590332,27.8503795623779,30.1560768127441,24.2737392425537,20.5305341720581,22.2960971832275,20.6848526000977,19.2669141769409
"ANANTAPUR","CHILAMATHUR",40.5373054504395,39.2563785552979,38.3252494812012,30.8647087097168,31.4308067321777,28.1314167022705,20.567352104187,19.5987133026123,21.3946432113647,21.3641870498657
"ANANTAPUR","DHARMAVARAM",37.4430576324463,36.4838928222656,36.7146778106689,30.6555393218994,30.2833465576172,24.8961181640625,21.1066537857056,21.3864944458008,22.3923288345337,20.4258808135986
"ANANTAPUR","DHIRCHAL",36.5769950866699,40.3489723205566,33.2341987609863,32.88889503479,32.0452857971191,27.5428550720215,21.3630506515503,19.1737295150757,20.8873271942139,19.2416095733643
"ANANTAPUR","GANDLAPENTA",37.7944244384766,37.146622467041,35.1287189483643,28.2017498016357,31.7726634979248,28.5199499130249,22.3961637496948,20.4525484085083,20.0488935470581,21.305104637146
"ANANTAPUR","GARLADINNE",37.29638671875,38.9487716674805,39.7189098358154,31.0095943450928,29.8444393157959,23.1758291244507,19.7438049316406,22.1731670379639,19.8492084503174,18.4915351867676
"ANANTAPUR","GOOTY",30.9558471679688,36.1284576416016,35.6907760620117,31.1646011352539,28.5295440673828,24.9569171905518,21.9474855422974,18.8155151367188,18.9151439666748,20.1394535064697
"ANANTAPUR","GORANTLA",40.5373054504395,39.2563785552979,38.0166160583496,31.2179672241211,31.1653221130371,28.4530946731567,20.1942924499512,20.1096513748169,21.7195484161377,20.2080528259277
"ANANTAPUR","GUDIBANDA",37.5821342468262,40.2350749969482,38.6297595977783,29.2327514648438,32.1853923797607,25.5785528182983,21.5814004898071,20.1384115219116,21.169596862793,18.7240814208984
"ANANTAPUR","GUMMAGATTA",38.4936973571777,39.9511264801025,30.1360885620117,31.3198345184326,30.8418022155762,24.6644937515259,21.6573709487915,21.3571231842041,21.1177379608154,19.5724559783936
"ANANTAPUR","GUNTAKAL",32.8949924468994,37.5568279266357,35.6907760620117,32.0812969207764,30.2731739044189,25.1111772537231,21.0827293395996,19.8289318084717,21.149649810791,21.7646661758423
"ANANTAPUR","HINDUPUR",34.958712387085,36.8030765533447,32.4330963134766,27.5695037841797,29.861279296875,25.072647857666,21.0192678451538,19.5918073654175,18.2406778335571,19.3404333114624
"ANANTAPUR","KADIRI",36.2461967468262,34.3020114898682,38.1470409393311,28.881120300293,31.7726634979248,28.5199499130249,23.0991840362549,20.0365854263306,19.9373222351074,21.9246614456177
"ANANTAPUR","KALYANDURG",49.2748077392578,50.1396034240723,47.1756397247314,36.8788238525391,38.8343421936035,31.3671581268311,25.5213603973389,25.8789808273315,27.3732570648193,28.4644123077393
"ANANTAPUR","KAMBADUR",47.619847869873,47.1835945129395,44.0616474151611,33.2694751739502,36.2268642425537,28.6279935836792,24.0807111740112,22.5764751434326,25.4885232925415,24.7038728713989
"ANANTAPUR","KANAGANAPALLE",48.1296031951904,47.0053825378418,43.2261337280273,32.0226402282715,36.7660320281982,29.5619773864746,24.1056192398071,26.3766340255737,25.315225982666,27.0027963638306
"ANANTAPUR","KANEKAL",39.639945602417,41.5513572692871,42.0320709228516,30.9413486480713,34.056909942627,26.3647430419922,21.872043800354,19.3353830337524,21.8717468261719,21.4862794876099
"ANANTAPUR","KOTHACHERUVU",39.48200340271,38.1651992797852,35.2246467590332,26.4593284606934,30.1560768127441,24.9250774383545,18.5708084106445,19.2190910339355,20.6848526000977,18.9721269607544
"ANANTAPUR","KUDAIR",46.7205791473389,47.9497226715088,45.7978065490723,35.7660907745361,36.3808479309082,28.9704700469971,24.3798294067383,26.2199501037598,25.7193700790405,27.0927040100098
"ANANTAPUR","KUNDURPI",42.0802768707275,44.2299819946289,39.1404556274414,34.2349433898926,33.066955947876,25.1299690246582,23.0056509017944,18.2045104980469,20.4517158508301,18.4780014038086
"ANANTAPUR","LEPAKSHI",34.8311645507813,36.7599552154541,32.4330963134766,27.5695037841797,29.861279296875,25.3841909408569,20.8972560882568,19.5918073654175,18.2406778335571,19.8789728164673
"ANANTAPUR","MADAKASIRA",38.9541515350342,41.1266532897949,38.3091716766357,27.4648487091064,31.9885585784912,25.6614429473877,21.7871606826782,22.066944694519,22.6813688278198,18.694947052002
"ANANTAPUR","MUDIGUBBA",36.8261341094971,35.4873470306396,38.1470409393311,30.9390483856201,31.2630798339844,27.0691366195679,23.2693159103394,20.5275318145752,22.1792713165283,21.9246614456177
"ANANTAPUR","NALLACHERUVU",36.6335643768311,35.37509765625,33.4361686706543,29.4331283569336,31.7726634979248,28.5199499130249,22.2352346420288,20.6735778808594,19.9152723312378,20.6492414474487
"ANANTAPUR","NALLAMADA",32.934642791748,35.9335224151611,35.6455055236816,30.1145965576172,31.4308067321777,27.3279573440552,21.807071685791,19.8520013809204,23.633044052124,21.0744415283203
"ANANTAPUR","NAMBULIPULIKUNTA",37.7944244384766,37.146622467041,32.6830352783203,27.7502305984497,31.0402187347412,27.903694152832,22.3961637496948,20.4525484085083,20.0488935470581,20.4162179946899
"ANANTAPUR","NARPALA",39.2310001373291,39.0169658660889,38.9532829284668,31.8572273254395,31.3979850769043,23.8601915359497,21.6258728027344,21.9759281158447,20.3124486923218,20.7441719055176
