"DISTRICT","MANDAL","2019-08-07 05:30:00","2019-08-07 08:30:00","2019-08-07 11:30:00","2019-08-07 14:30:00","2019-08-07 17:30:00","2019-08-07 20:30:00","2019-08-07 23:30:00","2019-08-08 02:30:00","2019-08-08 05:30:00","2019-08-08 08:30:00","2019-08-08 11:30:00","2019-08-08 14:30:00","2019-08-08 17:30:00","2019-08-08 20:30:00","2019-08-08 23:30:00","2019-08-09 02:30:00","2019-08-09 05:30:00","2019-08-09 08:30:00","2019-08-09 11:30:00","2019-08-09 14:30:00","2019-08-09 17:30:00","2019-08-09 20:30:00","2019-08-09 23:30:00","2019-08-10 02:30:00","2019-08-10 05:30:00","2019-08-10 08:30:00","2019-08-10 11:30:00","2019-08-10 14:30:00","2019-08-10 17:30:00","2019-08-10 20:30:00","2019-08-10 23:30:00","2019-08-11 02:30:00","2019-08-11 05:30:00","2019-08-11 08:30:00","2019-08-11 11:30:00","2019-08-11 14:30:00","2019-08-11 17:30:00","2019-08-11 20:30:00","2019-08-11 23:30:00","2019-08-12 02:30:00","2019-08-12 05:30:00","2019-08-12 08:30:00","2019-08-12 11:30:00","2019-08-12 14:30:00","2019-08-12 17:30:00","2019-08-12 20:30:00","2019-08-12 23:30:00","2019-08-13 02:30:00","2019-08-13 05:30:00","2019-08-13 11:30:00","2019-08-13 17:30:00","2019-08-13 23:30:00","2019-08-14 05:30:00","2019-08-14 11:30:00","2019-08-14 17:30:00","2019-08-14 23:30:00","2019-08-15 05:30:00","2019-08-15 11:30:00","2019-08-15 17:30:00","2019-08-15 23:30:00","2019-08-16 05:30:00","2019-08-16 11:30:00","2019-08-16 17:30:00","2019-08-16 23:30:00","2019-08-17 05:30:00"
"ANANTAPUR","AGALI",20.556,21.78,36.144,35.244,27.9,27.288,26.928,27.72,28.116,32.796,37.116,35.892,27.936,24.552,22.032,20.88,21.708,21.168,26.532,32.472,20.052,19.62,20.808,21.204,19.62,18.684,23.436,25.488,23.508,21.06,18.864,20.016,19.764,28.224,29.412,28.476,20.232,18.612,14.04,15.948,15.552,24.732,24.624,24.768,19.044,16.92,15.48,14.292,14.76,20.844,18,14.4,14.004,18.792,16.524,15.372,14.076,19.08,21.24,11.376,13.176,17.568,15.696,15.444,13.284
"ANANTAPUR","AMADAGUR",25.776,30.348,34.56,40.248,31.356,29.448,29.952,29.268,27.468,37.296,35.352,35.856,28.944,25.344,25.92,26.424,27.648,26.352,37.656,34.632,30.348,23.292,20.7,21.888,22.932,28.512,31.752,28.476,22.572,21.672,22.356,23.076,22.356,33.516,30.168,27.216,24.984,21.816,22.212,21.888,22.824,29.556,25.956,20.988,19.368,18.9,20.844,20.484,20.484,21.636,18.576,19.8,18.936,20.628,21.168,19.332,18.18,21.132,23.904,18.792,19.224,20.232,21.996,17.748,18.396
"ANANTAPUR","AMARAPURAM",22.536,29.52,32.472,35.964,27.972,26.964,27.072,27.576,24.948,33.552,37.08,37.008,27.612,23.652,23.184,22.212,22.788,21.456,34.344,30.852,23.652,20.736,20.808,23.544,21.132,19.26,26.748,24.516,21.744,20.628,20.268,19.98,19.8,30.348,27.9,27.324,24.444,20.196,15.804,13.392,17.532,23.832,23.616,23.328,20.34,16.992,16.02,13.5,14.364,21.78,18.828,15.372,13.716,18.684,15.444,15.552,13.896,20.268,19.26,14.004,13.356,17.244,17.748,15.48,14.544
"ANANTAPUR","ANANTAPURMANDAL",30.852,30.96,38.808,48.528,35.82,34.596,35.604,36.324,37.332,35.352,45,49.824,36.828,31.752,29.664,26.568,24.408,24.12,47.988,40.356,28.584,26.352,23.292,21.096,19.656,24.516,32.796,29.088,22.68,21.672,21.996,20.412,22.392,30.06,37.872,36.468,31.644,24.624,24.264,23.184,19.044,28.26,27,27.072,28.512,22.572,24.156,22.356,19.8,25.344,24.408,23.112,20.88,24.804,28.296,22.608,18.828,25.956,25.704,21.096,18.648,25.02,27.792,21.996,19.26
"ANANTAPUR","ATMAKUR",32.472,37.8,40.86,52.236,35.82,36.036,38.412,37.872,39.312,38.304,49.212,53.244,39.168,34.992,30.852,31.572,27.432,25.308,47.988,46.872,31.752,29.376,25.668,22.788,23.508,28.188,34.632,29.52,24.336,24.3,25.164,23.184,25.236,31.176,39.528,38.736,32.472,26.532,25.812,25.02,21.132,31.392,29.592,27.756,30.672,24.3,25.92,24.084,21.888,26.712,25.632,24.948,22.32,25.344,28.944,24.66,20.88,27.792,26.532,23.256,20.988,26.244,30.78,23.544,20.808
"ANANTAPUR","BATHALAPALLE",22.968,26.352,32.94,37.692,28.98,25.056,25.992,26.352,24.84,31.536,38.592,36.144,27.54,22.608,20.088,21.528,21.744,23.328,37.512,31.752,27.432,21.528,20.016,18.18,18.18,20.88,30.924,26.604,21.852,18.468,18.288,19.872,19.368,28.224,30.852,27.864,27.072,22.212,19.872,18.18,16.74,25.128,22.068,22.752,21.204,16.812,18.864,16.956,15.516,22.068,18.144,18.252,15.228,20.52,21.384,17.568,14.688,19.548,22.176,15.84,13.68,20.412,17.64,16.272,15.012
"ANANTAPUR","BELUGUPPA",30.564,38.7,39.348,49.284,34.488,33.336,37.62,35.388,36.396,38.52,49.104,50.148,33.948,34.956,29.268,32.364,28.296,25.236,47.16,43.884,31.5,29.7,26.064,23.112,26.568,27.468,36.864,29.988,25.164,24.948,25.632,24.12,25.272,30.492,38.844,36.072,30.672,26.208,24.804,23.688,21.276,31.356,30.06,27.36,28.872,23.364,24.876,22.716,20.916,25.524,25.056,24.372,20.664,23.544,25.884,23.508,19.944,27.36,25.704,22.032,19.908,26.1,28.476,22.572,19.836
"ANANTAPUR","BOMMANAHAL",22.284,28.368,33.3,31.608,28.044,27.684,29.952,29.808,34.596,34.2,37.512,40.932,32.724,30.672,24.624,23.94,24.264,18.432,38.052,35.46,25.74,24.984,19.08,16.992,19.116,19.764,30.888,27.936,21.06,19.476,19.728,20.124,19.188,28.368,29.484,30.816,27.108,21.312,19.08,17.136,16.272,25.344,23.58,23.004,21.132,18.288,18.432,15.552,15.48,20.808,19.296,16.776,15.156,17.64,17.64,16.344,14.472,20.844,20.484,15.156,12.456,18.612,18.648,15.876,12.168
"ANANTAPUR","BRAHMASAMUDRAM",28.728,32.976,37.944,35.964,31.248,25.128,27.288,28.512,28.62,25.812,35.604,37.656,29.664,28.332,30.636,23.148,22.932,21.6,31.14,29.124,25.02,24.048,19.368,21.06,18.648,22.104,30.528,29.592,19.872,20.016,19.008,20.052,19.44,29.808,31.068,30.312,24.948,19.404,16.884,15.012,15.624,19.368,24.84,23.652,21.6,17.676,16.524,13.824,13.896,21.852,18.936,16.848,13.356,16.812,18.036,16.776,12.816,21.132,18.72,14.868,13.932,18.324,18.432,15.624,14.292
"ANANTAPUR","BUKKAPATNAM",21.924,27.576,29.808,34.02,26.604,24.264,25.74,23.832,22.32,32.148,33.12,33.588,29.916,24.084,21.636,23.328,23.04,25.272,37.476,32.544,30.024,24.192,20.808,19.584,21.132,24.048,28.62,27.612,21.744,19.98,19.62,21.132,20.988,30.888,29.808,28.62,25.164,21.852,20.196,19.08,17.604,26.028,25.02,21.06,20.016,17.064,18.144,17.064,16.956,21.888,16.38,17.172,15.552,19.476,18.684,17.028,14.472,19.368,22.572,16.128,14.616,21.06,19.116,15.012,14.868
"ANANTAPUR","BUKKARAYASAMUDRAM",24.588,26.928,33.84,39.6,32.508,26.208,30.24,31.356,30.42,28.08,37.548,40.824,31.428,26.532,25.128,21.564,21.204,21.528,42.876,31.32,28.044,23.724,21.492,18.72,17.64,20.016,30.132,26.892,21.744,18.504,19.044,19.26,19.8,28.908,33.228,29.34,28.08,23.544,20.628,19.044,17.424,23.148,22.68,24.12,22.752,20.016,20.736,18.144,16.128,22.428,18.504,19.728,16.668,20.88,23.22,18.324,15.264,21.276,22.896,17.388,14.868,21.168,19.728,18.936,16.02
"ANANTAPUR","CHENNEKOTHAPALLE",22.968,28.332,32.472,39.852,28.764,28.044,28.368,29.952,30.564,30.204,37.332,38.988,30.744,27.396,27.792,26.64,20.376,24.156,35.208,31.932,25.488,22.644,20.628,19.908,18,19.872,27.864,26.172,19.296,18.036,18.144,19.224,19.152,28.656,30.168,28.584,25.092,20.304,18.18,16.812,16.344,24.264,22.968,21.348,21.708,15.984,17.352,16.632,15.876,20.52,18.576,16.884,13.752,19.404,22.284,16.56,15.156,20.34,20.7,15.156,14.616,19.26,15.84,16.632,13.644
"ANANTAPUR","CHILAMATHUR",23.904,30.168,34.164,40.536,32.328,28.044,29.88,29.556,26.604,32.94,37.008,39.24,29.268,24.66,25.38,23.94,23.472,25.668,38.34,33.48,28.62,22.752,21.132,20.412,21.168,25.452,30.852,27.216,24.048,20.268,21.672,21.276,20.844,31.428,31.068,27.36,24.444,21.024,19.728,18.54,19.512,28.116,24.66,20.772,19.44,16.2,18.108,16.812,16.668,20.556,17.316,16.668,16.236,19.584,16.2,16.488,16.272,21.384,19.26,15.336,15.948,21.348,15.804,14.832,14.94
"ANANTAPUR","DHARMAVARAM",22.968,25.776,31.824,37.44,28.908,25.056,25.992,26.352,24.84,31.536,36.18,36.468,29.304,23.652,20.844,22.752,23.004,25.272,36.72,32.544,28.044,22.824,20.808,18.54,20.052,21.42,30.672,26.172,20.952,18.972,18.72,20.196,19.692,29.304,30.276,27.864,26.46,21.852,19.296,18.648,17.1,24.912,23.4,22.536,20.916,17.064,17.568,16.668,16.416,21.096,17.388,17.316,14.868,19.98,21.384,16.632,13.968,19.62,22.392,15.336,14.004,20.412,17.712,15.732,14.256
"ANANTAPUR","DHIRCHAL",31.032,33.156,36.576,34.524,31.104,31.788,30.78,32.436,39.636,37.98,40.356,39.924,32.724,32.94,28.476,24.552,24.912,18.324,29.556,33.228,24.948,26.352,23.832,25.488,26.712,21.024,32.904,28.368,21.456,18.468,19.548,18.828,18.576,31.032,32.04,28.584,25.632,20.34,18.9,16.956,15.66,27.54,23.76,24.264,22.356,18.648,18.468,16.164,14.724,21.348,20.736,18.324,16.344,18.18,19.188,17.172,15.48,20.88,20.736,16.56,16.092,19.116,19.224,18.144,15.228
"ANANTAPUR","GANDLAPENTA",26.82,36.252,36.144,37.8,29.952,29.016,28.908,27.108,26.568,30.06,35.028,37.152,27.828,26.82,24.804,23.04,21.42,23.292,35.136,30.78,25.92,23.364,19.944,21.492,19.98,24.804,28.188,25.452,21.708,19.404,20.16,21.636,20.556,31.788,27.72,28.044,25.2,22.14,22.536,21.24,20.304,28.512,25.668,22.14,19.8,17.028,19.872,19.872,20.484,22.392,19.908,20.304,20.448,20.232,20.268,18.612,18.576,20.052,17.244,18.648,18.144,21.312,17.46,17.748,19.188
