"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-12-10 17:30:00,27.5466861724854,29.07,62.81,0,1011.0462,17.9611229896545,143.88
"2",2019-12-10 20:30:00,24.7810916900635,25.42,80.59,0,1013.3744,13.8588838577271,134.97
"3",2019-12-10 23:30:00,22.8851566314697,23.6,90.72,0,1013.6888,11.0899523735046,87.06
"4",2019-12-11 02:30:00,21.3827152252197,22.05,94.61,0,1011.9475,11.4208717346191,101.46
"5",2019-12-11 05:30:00,20.6199893951416,21.2,94.1,0,1012.9169,10.9879082679749,31.75
"6",2019-12-11 08:30:00,25.534631729126,26.04,72.62,0,1015.6412,11.2475975990295,69.88
"7",2019-12-11 11:30:00,29.7493534088135,30.62,49.57,0,1014.4462,10.3044457912445,99.8
"8",2019-12-11 14:30:00,31.058801651001,31.4,42.64,0,1010.6644,8.81581399440765,94.36
"9",2019-12-11 17:30:00,28.3182010650635,28.79,49.78,0,1010.7888,15.131183052063,124.06
"10",2019-12-11 20:30:00,24.4663944244385,24.95,75.73,0,1013.1544,12.5679018974304,134.43
"11",2019-12-11 23:30:00,22.3369388580322,22.95,88.85,0,1013.2169,11.2212883472443,105.33
"12",2019-12-12 02:30:00,21.3337955474854,21.96,93.48,0,1011.6944,10.9280585289001,83.16
"13",2019-12-12 05:30:00,20.7571659088135,21.35,94.4,0,1012.6581,11.1280826568604,72.02
"14",2019-12-12 08:30:00,25.450159072876,26.02,75.29,0,1015.5275,14.1542023658752,84.63
"15",2019-12-12 11:30:00,29.5945682525635,30.76,52.05,0.08,1014.42,16.7113457679749,106.17
"16",2019-12-12 14:30:00,29.7671451568604,30.65,49.6,0,1010.9419,16.7195511817932,127.48
"17",2019-12-12 17:30:00,27.2911624908447,28.5,60.49,0.01,1011.7288,18.1383470535278,119.57
"18",2019-12-12 20:30:00,24.9286136627197,25.36,72.16,0,1014.2406,13.6133445739746,145.23
"19",2019-12-12 23:30:00,23.084436416626,23.55,80.63,0,1014.1688,11.1497179985046,104.93
"20",2019-12-13 02:30:00,21.7980289459229,22.37,89.23,0,1012.645,11.7586657047272,79.59
"21",2019-12-13 05:30:00,21.568078994751,22.18,92.01,0,1013.2144,13.0809153556824,64.8
"22",2019-12-13 08:30:00,25.0013370513916,25.58,77.58,0,1016.0794,18.4939041137695,89.45
"23",2019-12-13 11:30:00,29.2202701568604,30.87,56.57,0.03,1015.0675,18.3153290748596,123.38
"24",2019-12-13 14:30:00,29.2855472564697,30.96,56.52,0.04,1012.5144,19.841547203064,141.58
"25",2019-12-13 17:30:00,26.205286026001,27.61,70.32,0.06,1013.835,15.5856093406677,124.56
"26",2019-12-13 20:30:00,24.8428592681885,25.4,77.05,0,1016.5075,12.8463624000549,113.09
"27",2019-12-13 23:30:00,23.6884708404541,24.26,82.15,0,1016.3325,14.0938676834106,106.76
"28",2019-12-14 02:30:00,22.5252933502197,23.13,88,0,1015.1925,12.4102111816406,77.23
"29",2019-12-14 05:30:00,21.5901126861572,22.27,94.35,0,1015.6406,12.4659783840179,54.1
