"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-12-10 17:30:00,27.6404361724854,29.22,62.95,0,1010.9462,16.6980239868164,134.15
"2",2019-12-10 20:30:00,25.0310916900635,25.6,76.97,0,1013.1544,12.6370745658875,131.81
"3",2019-12-10 23:30:00,23.1039066314697,23.8,89,0,1013.4888,9.90331993103027,45.93
"4",2019-12-11 02:30:00,21.4764652252197,22.17,95.17,0,1011.8075,11.1410860061646,50.63
"5",2019-12-11 05:30:00,20.9949893951416,21.65,95.79,0,1012.7169,10.3744484424591,27.46
"6",2019-12-11 08:30:00,25.753381729126,27.04,73.65,0,1015.4612,11.0298957824707,56.14
"7",2019-12-11 11:30:00,30.1087284088135,31.34,50.8,0,1014.2662,10.1484858512878,100.82
"8",2019-12-11 14:30:00,31.011926651001,31.34,42.75,0,1010.4844,9.50656414031982,137.26
"9",2019-12-11 17:30:00,27.8807010650635,29.01,57.42,0,1010.8088,18.2991087913513,146.12
"10",2019-12-11 20:30:00,24.2163944244385,24.79,80.1,0,1012.9744,11.1925663948059,139.41
"11",2019-12-11 23:30:00,22.0556888580322,22.72,92.18,0,1013.0769,11.7437208652496,68.33
"12",2019-12-12 02:30:00,21.3181705474854,21.97,94.49,0,1011.4944,10.6821085453033,61.57
"13",2019-12-12 05:30:00,20.8196659088135,21.46,95.7,0,1012.4781,10.1313403129578,38.94
"14",2019-12-12 08:30:00,25.418909072876,26.02,76.99,0,1015.3675,12.2263227939606,76.39
"15",2019-12-12 11:30:00,29.7508182525635,31.23,53.54,0.09,1014.22,17.2630551338196,112.29
"16",2019-12-12 14:30:00,29.9077701568604,30.92,50.08,0.06,1010.8419,18.7120505332947,118.65
"17",2019-12-12 17:30:00,27.4317874908447,28.56,58.94,0,1011.6888,16.4205599784851,123.72
"18",2019-12-12 20:30:00,24.9598636627197,25.43,73.59,0,1014.0606,12.330853843689,136.21
"19",2019-12-12 23:30:00,23.146936416626,23.73,84.75,0,1013.9688,11.126394367218,88.5
"20",2019-12-13 02:30:00,22.0167789459229,22.58,88.38,0,1012.445,10.7449211597443,54.32
"21",2019-12-13 05:30:00,21.708703994751,22.31,91.04,0,1013.0144,12.704909992218,58.36
"22",2019-12-13 08:30:00,25.2513370513916,25.87,78.07,0,1015.9594,16.006707572937,77.05
"23",2019-12-13 11:30:00,29.5171451568604,31.37,56.7,0.04,1014.8875,18.1236966133118,126.11
"24",2019-12-13 14:30:00,29.3167972564697,31.29,58.26,0.12,1012.4544,17.1220061302185,128.29
"25",2019-12-13 17:30:00,26.830286026001,28.53,69.48,0.19,1013.655,13.9940431594849,120.14
"26",2019-12-13 20:30:00,25.3584842681885,25.92,75.51,0,1016.3075,12.7578658103943,115.79
"27",2019-12-13 23:30:00,23.7978458404541,24.36,81.37,0,1016.1525,13.6181407928467,92.18
"28",2019-12-14 02:30:00,22.7752933502197,23.36,86.16,0,1014.9925,12.1576432228088,63.53
"29",2019-12-14 05:30:00,21.7463626861572,22.43,93.99,0,1015.4406,12.4321838378906,52.18
"30",2019-12-14 08:30:00,25.6261234283447,26.87,74.57,0,1017.3844,15.0523381233215,66.64
"31",2019-12-14 11:30:00,30.6289920806885,32.27,51.41,0,1016.1,15.2626112937927,91.86
"32",2019-12-14 14:30:00,32.0255069732666,32.95,43.33,0,1012.5375,15.5978917121887,112.7
"33",2019-12-14 17:30:00,27.8446292877197,29.64,63.87,0.05,1013.6344,18.0641661643982,144.53
"34",2019-12-14 20:30:00,25.0154361724854,25.64,78.99,0,1016.0512,13.1271961212158,118.12
"35",2019-12-14 23:30:00,23.220666885376,23.79,83.86,0,1015.6788,11.3151257514954,72.78
"36",2019-12-15 02:30:00,21.6560916900635,22.24,90.33,0,1013.7825,10.6310049533844,62.93
"37",2019-12-15 05:30:00,21.0760746002197,21.71,94.42,0,1014.3706,11.3548726558685,71.17
"38",2019-12-15 08:30:00,25.424036026001,26.05,77.76,0,1016.8475,13.0387038230896,68.24
"39",2019-12-15 11:30:00,30.5649662017822,32.15,51.3,0,1015.5488,15.8012340545654,85.48
"40",2019-12-15 14:30:00,31.9656620025635,32.7,42.55,0,1011.8125,16.180187702179,94.38
"41",2019-12-15 17:30:00,28.1690921783447,29.84,61.15,0,1012.4994,16.0567777633667,127.66
"42",2019-12-15 20:30:00,25.0520877838135,25.84,85.56,0,1014.6456,13.6615719795227,124.16
"43",2019-12-15 23:30:00,23.1356449127197,23.88,90.88,0,1014.9731,12.1329033851624,64.04
"44",2019-12-16 02:30:00,21.9166812896729,22.66,95.5,0,1013.9044,11.3858738422394,43.8
"45",2019-12-16 05:30:00,21.7212772369385,22.47,96.67,0,1014.4106,11.5187878131866,60.11
"46",2019-12-16 08:30:00,25.1456546783447,25.81,80.22,0,1016.1162,14.1306881904602,69.62
"47",2019-12-16 11:30:00,30.4475955963135,32.28,53.02,0,1014.6425,13.4361222267151,85.06
"48",2019-12-16 14:30:00,32.4757022857666,33,40.12,0,1011.0744,12.6963955879211,98.98
"49",2019-12-16 17:30:00,28.2542057037354,30.29,63.64,0,1012.0644,17.6471002578735,137.63
"50",2019-12-16 23:30:00,23.0371952056885,23.85,93.84,0,1015.1294,12.6099125862122,76.49
"51",2019-12-17 05:30:00,21.5044193267822,22.23,96.31,0,1013.4388,11.6442091941834,55.09
"52",2019-12-17 11:30:00,30.1310367584229,32.08,54.8,0,1015.095,13.3915872573853,86.66
"53",2019-12-17 17:30:00,28.1421756744385,29.77,60.92,0,1012.52,15.4283761024475,122.99
"54",2019-12-17 23:30:00,23.2454471588135,23.87,85.89,0,1015.3462,13.0531748771667,87.64
"55",2019-12-18 05:30:00,21.5889835357666,22.31,96.19,0,1014.455,11.2185413360596,39.54
"56",2019-12-18 11:30:00,30.266077041626,32.42,55.41,0,1015.4844,12.1383416175842,65.41
"57",2019-12-18 17:30:00,28.7404117584229,31.18,63.92,0,1011.9319,19.6736958503723,137.84
"58",2019-12-18 23:30:00,22.8415775299072,23.62,93.39,0,1014.4506,12.2506781101227,92.7
"59",2019-12-19 05:30:00,20.6867923736572,21.4,98.96,0,1013.2756,10.2401817798614,356.16
"60",2019-12-19 11:30:00,30.2252140045166,32.48,56.09,0.0299999999999999,1013.7644,9.65758709907532,49.98
"61",2019-12-19 17:30:00,30.4271488189697,31.7,50,0,1010.5169,7.40577671527863,110.37
"62",2019-12-19 23:30:00,23.4660892486572,24.34,94.68,0,1012.5581,10.7331533432007,236.13
"63",2019-12-20 05:30:00,21.2977542877197,22.09,99.77,0,1011.6775,7.73525347709656,16.64
"64",2019-12-20 11:30:00,30.2373294830322,32.75,57.35,0.05,1013.6806,7.01894541978836,146.09
"65",2019-12-20 17:30:00,29.065393447876,31.03,59.28,0,1010.5056,16.7279814720154,140.35
