"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-12-10 17:30:00,26.2966861724854,28.22,79.57,0,1009.2462,20.4841512680054,51.59
"2",2019-12-10 20:30:00,24.7498416900635,25.54,86.37,0.02,1011.2344,17.3057945251465,59.25
"3",2019-12-10 23:30:00,24.3539066314697,25.08,85.42,0.03,1011.7288,18.7329992294312,44.63
"4",2019-12-11 02:30:00,24.3514652252197,24.92,79.53,0.03,1009.9675,15.7165286064148,35.27
"5",2019-12-11 05:30:00,23.3074893951416,23.83,81.97,0,1010.6369,11.7170519828796,29.78
"6",2019-12-11 08:30:00,25.909631729126,27.41,77.32,0,1013.7812,16.6957117080688,35.85
"7",2019-12-11 11:30:00,28.4681034088135,31.17,67.24,0,1012.4462,20.4633905410767,37.61
"8",2019-12-11 14:30:00,29.121301651001,31.62,62.31,0,1008.6244,16.5356220245361,35.89
"9",2019-12-11 17:30:00,27.1619510650635,29.67,75.77,0,1008.8488,10.5410646915436,61.5
"10",2019-12-11 20:30:00,24.3101444244385,25.16,90.45,0,1011.9944,11.4631296157837,55.66
"11",2019-12-11 23:30:00,24.4931888580322,25.28,87.17,0.05,1011.0769,16.9229475975037,47.41
"12",2019-12-12 02:30:00,24.0056705474854,24.75,87.45,0.05,1008.9144,18.7179960250855,41.72
"13",2019-12-12 05:30:00,23.2259159088135,23.75,82.06,0,1009.4381,12.0775640487671,33.12
"14",2019-12-12 08:30:00,25.700159072876,26.97,74.25,0,1012.8275,18.8329825401306,40.14
"15",2019-12-12 11:30:00,28.2039432525635,30.24,63.91,0,1012.16,23.5199689865112,37.96
"16",2019-12-12 14:30:00,29.3452701568604,31.66,60.16,0,1009.1419,18.4628728866577,32.18
"17",2019-12-12 17:30:00,27.1974124908447,29.35,71.63,0,1009.2888,14.8002388000488,52.71
"18",2019-12-12 20:30:00,24.5067386627197,25.34,89.3,0,1012.1206,13.9919085502625,49.57
"19",2019-12-12 23:30:00,24.600061416626,25.37,86.3,0.01,1012.0088,16.7250246047974,42.4
"20",2019-12-13 02:30:00,23.8917789459229,24.67,89.22,0.01,1009.725,16.171010684967,42.83
"21",2019-12-13 05:30:00,23.677453994751,24.37,86.8,0.00999999999999998,1010.2944,17.3008463859558,41.63
"22",2019-12-13 08:30:00,26.0950870513916,27.82,79.32,0.01,1013.1594,22.0767036437988,40.56
"23",2019-12-13 11:30:00,28.2515201568604,31.24,70.57,0.05,1012.9075,23.6795127868652,43.51
"24",2019-12-13 14:30:00,28.6761722564697,32.12,70.5,0.27,1009.8944,21.2104351043701,43.8
"25",2019-12-13 17:30:00,26.299036026001,28.33,81.34,0.22,1010.875,16.3990302085876,50.15
"26",2019-12-13 20:30:00,24.9053592681885,25.69,85.61,0.0599999999999999,1013.6675,19.8776407241821,46.53
"27",2019-12-13 23:30:00,24.4853458404541,25.24,86.22,0.0900000000000001,1013.3325,23.9569038391113,43.72
"28",2019-12-14 02:30:00,24.1034183502197,24.81,85.7,0.0399999999999999,1010.7925,21.2228685379028,41.54
"29",2019-12-14 05:30:00,24.0276126861572,24.71,84.99,0.02,1011.4606,19.2829988479614,41.57
"30",2019-12-14 08:30:00,25.5011234283447,26.75,82.25,0.03,1014.6044,22.1142768859863,48.21
"31",2019-12-14 11:30:00,26.7539920806885,29.12,78.86,0.2,1013.64,25.48740234375,39.31
"32",2019-12-14 14:30:00,26.6817569732666,29.15,81.31,1,1010.8575,24.4212856292725,54.78
"33",2019-12-14 17:30:00,25.4696292877197,26.72,85.8,0.37,1011.3944,20.273708152771,48.37
"34",2019-12-14 20:30:00,24.6716861724854,25.45,86.27,0.0500000000000003,1013.7312,21.1121520996094,41.79
"35",2019-12-14 23:30:00,24.314416885376,25.13,89.14,0.1,1013.3588,21.4625524520874,42.92
"36",2019-12-15 02:30:00,23.8748416900635,24.62,88.26,0.0699999999999998,1011.1025,21.6418441772461,40.57
"37",2019-12-15 05:30:00,23.7635746002197,24.52,89.08,0.00999999999999979,1011.3506,23.5535167694092,45.76
"38",2019-12-15 08:30:00,25.017786026001,25.81,85.72,0.02,1013.2675,27.2205076217651,43.72
"39",2019-12-15 11:30:00,27.5649662017822,30.41,74.88,0.12,1012.1888,29.6761751174927,47.14
"40",2019-12-15 14:30:00,28.3406620025635,31.27,69.57,0.23,1009.7925,26.1140298843384,51.47
"41",2019-12-15 17:30:00,26.7003421783447,28.85,76.8,0.1,1010.5594,20.0107057571411,55.47
"42",2019-12-15 20:30:00,25.3020877838135,26,80.8,0.02,1013.0656,18.5404621124268,51.78
"43",2019-12-15 23:30:00,24.7918949127197,25.47,81.89,0.02,1012.8731,19.6470823287964,46.79
"44",2019-12-16 02:30:00,24.0104312896729,24.73,86.51,0.12,1010.2644,22.1261644363403,44.03
"45",2019-12-16 05:30:00,23.8150272369385,24.48,85.39,0,1010.7706,18.6260610580444,44.67
"46",2019-12-16 08:30:00,25.5206546783447,26.78,80.74,0.00999999999999979,1012.9562,23.9674713134766,43.09
"47",2019-12-16 11:30:00,27.7288455963135,30.34,71.57,0.04,1011.9225,27.7314577102661,40.41
"48",2019-12-16 14:30:00,27.8819522857666,30.64,71.56,0.11,1008.9744,25.4095453262329,39.05
"49",2019-12-16 17:30:00,26.3792057037354,28.25,77.1,0.0900000000000003,1010.1844,20.7110137939453,45.98
"50",2019-12-16 23:30:00,24.0996952056885,24.83,86.8,0.11,1012.4094,22.9093523025513,48.08
"51",2019-12-17 05:30:00,24.0356693267822,24.66,83.14,0.02,1009.7188,19.9384586334229,40.84
"52",2019-12-17 11:30:00,27.6310367584229,30.21,72.06,0.1,1012.135,26.0272825241089,42.52
"53",2019-12-17 17:30:00,26.5171756744385,28.47,76.49,0.21,1009.98,20.42083568573,46.76
"54",2019-12-17 23:30:00,24.5266971588135,25.29,86.34,0.58,1012.5862,24.6339448928833,45.51
"55",2019-12-18 05:30:00,24.0889835357666,24.71,82.56,0.0599999999999996,1010.355,20.719492149353,36.2
"56",2019-12-18 11:30:00,27.391077041626,29.69,71.51,0.0300000000000002,1011.8644,31.3585390090942,38.76
"57",2019-12-18 17:30:00,26.3029117584229,28.17,78.2,0.49,1009.7719,22.0377073287964,43.69
"58",2019-12-18 23:30:00,24.4665775299072,25.31,89.8,0.52,1012.2106,22.6659484863281,43.34
"59",2019-12-19 05:30:00,23.9992923736572,24.76,88.44,0.46,1009.7556,25.4103693008423,44.93
"60",2019-12-19 11:30:00,27.5689640045166,30.3,73.97,0.24,1011.2244,27.1091989517212,38.83
"61",2019-12-19 17:30:00,24.8646488189697,25.71,88.27,1.51,1009.4369,18.8384765625,53.65
"62",2019-12-19 23:30:00,23.8410892486572,24.72,93.62,1.77,1011.4381,19.1157620429993,56.05
"63",2019-12-20 05:30:00,23.7665042877197,24.51,88.63,0.950000000000001,1009.5375,20.5792963027954,49.07
"64",2019-12-20 11:30:00,27.0185794830322,29.49,76.97,0.15,1011.0406,27.981470489502,40.75
"65",2019-12-20 17:30:00,25.252893447876,26.26,87.16,0.399999999999999,1009.3456,22.6625598907471,55.7
