"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,31,30.8,31.43,32.09,31.53,32.22,31.79,31.76,33.22
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,29.97,30.33,30.52,31.39,30.85,31.08,29.76,30.4,31.27
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,29.14,28.73,29.2,29.57,29.34,29.65,29.3,30.08,30.68
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,31.1,30.99,31.55,32.16,31.5,32.29,32.01,32.15,33.54
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,30.28,30.3,30.87,31.29,31.04,30.7,30.18,30.15,30.95
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,30.3,30.23,31.08,31.34,31.21,31.45,30.44,30.89,32.08
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,31.37,31.22,32.05,32.32,31.89,32.66,32.47,32.82,33.98
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,30.13,30.02,30.94,30.95,30.42,31.14,29.89,30.37,31.6
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,30.49,30.02,30.9,31.22,30.82,30.43,30.15,29.96,30.68
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,30.19,30.43,30.99,31.68,31.18,31.03,30.21,30.54,31.4
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,30.56,30.44,31.46,31.55,31.14,31.8,30.5,30.96,32.2
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,30.62,30.16,31.17,31.47,30.96,30.57,30.27,30.07,30.75
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,30.28,30.3,30.87,31.29,31.04,30.7,30.18,30.15,30.95
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,30.99,31.1,31.22,31.72,31.84,32.46,32.47,32.54,33.14
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,30.56,30.44,31.46,31.55,31.14,31.8,30.5,30.96,32.2
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,30.3,30.23,31.08,31.34,31.21,31.45,30.44,30.89,32.08
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,29.97,30.33,30.52,31.39,30.85,31.08,29.76,30.4,31.27
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,30.56,30.44,31.46,31.55,31.14,31.8,30.5,30.96,32.2
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,30.26,30.37,30.74,31.15,30.73,31.2,30.28,31,31.63
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,30.49,30.02,30.9,31.22,30.82,30.43,30.15,29.96,30.68
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,30.98,30.49,31.13,31.78,31.6,31.96,31.14,31.72,32.98
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,31.29,31.11,31.8,32.01,31.86,32.56,32.5,32.91,33.87
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,27.48,27.25,28.08,28.08,27.89,28.17,26.8,28.04,29.12
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,29.97,30.32,30.9,31.58,31.12,30.98,30.17,30.5,31.32
25,1315003,"KURNOOL","JUPADUBUNGALOW","Tangadancha",78.353557,15.866583,29.97,30.33,30.52,31.39,30.85,31.08,29.76,30.4,31.27
26,820013,"PRAKASAM","MARTUR","BollaPalle",80.09087,15.883023,31.1,30.99,31.55,32.16,31.5,32.29,32.01,32.15,33.54
27,1301010,"KURNOOL","KOWTHALAM","Chudi",77.14523,15.85101,30.62,30.16,31.17,31.47,30.96,30.57,30.27,30.07,30.75
28,814004,"PRAKASAM","MUNDLAMURU","Purimetla",79.845342,15.879728,31.25,30.78,31.51,31.96,31.85,32.28,31.6,31.98,33.42
29,1305005,"KURNOOL","CBELAGAL","Kothakota1",77.797096,15.863397,29.97,30.32,30.9,31.58,31.12,30.98,30.17,30.5,31.32
30,1307008,"KURNOOL","KURNOOL","Nidzur",77.97209,15.86234,30.25,30.57,31.01,31.73,31.32,31.24,30.15,30.54,31.47
31,1302024,"KURNOOL","KOSIGI","Kosigi1",77.247141,15.839242,30.22,29.78,30.71,31.13,30.53,30.3,29.95,29.81,30.65
32,757019,"GUNTUR","BAPATLA","Adivi",80.486393,15.850878,31.29,31.22,31.67,31.95,31.98,32.53,32.67,32.84,33.76
33,814010,"PRAKASAM","MUNDLAMURU","Marella",79.886427,15.871709,31.16,30.89,31.63,32.07,31.91,32.37,31.81,31.93,33.41
34,814006,"PRAKASAM","MUNDLAMURU","Vemula1",79.76763,15.869017,31.25,30.78,31.51,31.96,31.85,32.28,31.6,31.98,33.42
35,1303013,"KURNOOL","MANTRALAYAM","Sunkeswari",77.346557,15.85722,30.42,30.15,30.82,31.21,30.9,30.51,30.14,30.04,30.79
36,1308007,"KURNOOL","NANDIKOTKUR","Allur1",78.201215,15.870373,30.03,30.43,30.66,31.53,31.04,31.09,29.7,30.39,30.97
37,807013,"PRAKASAM","DORNALA","Nallaguntla",78.925441,15.869878,27.27,26.89,27.7,27.63,27.58,27.74,26.94,28.2,29.07
38,804018,"PRAKASAM","KURICHEDU","Peddavaram",79.638402,15.869502,30.89,30.24,31.07,31.42,31.4,31.77,30.68,31.36,32.58
39,1311007,"KURNOOL","ATMAKURKURNOOL","Krishnapuram1",78.639276,15.877106,29.92,30.05,30.42,30.79,30.42,30.9,30.23,30.99,31.61
40,825001,"PRAKASAM","INKOLLU","Nagandla",80.146407,15.880184,31.1,30.99,31.55,32.16,31.5,32.29,32.01,32.15,33.54
41,890901,"PRAKASAM","PEDAARAVEEDU","Forest",79.272004,15.877625,30.56,30.44,31.46,31.55,31.14,31.8,30.5,30.96,32.2
42,744020,"GUNTUR","NUZENDLA","Thimmapuram",79.744318,15.87715,30.98,30.49,31.13,31.78,31.6,31.96,31.14,31.72,32.98
43,804009,"PRAKASAM","KURICHEDU","NamassivayaPuram",79.60792,15.881807,30.89,30.24,31.07,31.42,31.4,31.77,30.68,31.36,32.58
44,1302023,"KURNOOL","KOSIGI","Pendekal",77.26401,15.853554,30.42,30.15,30.82,31.21,30.9,30.51,30.14,30.04,30.79
45,1301012,"KURNOOL","KOWTHALAM","Karani1",77.177816,15.85531,30.49,30.02,30.9,31.22,30.82,30.43,30.15,29.96,30.68
46,1315007,"KURNOOL","JUPADUBUNGALOW","Bannur",78.398107,15.860723,29.97,30.33,30.52,31.39,30.85,31.08,29.76,30.4,31.27
47,1314004,"KURNOOL","PAMULAPADU","Iskala",78.51594,15.859633,30.26,30.37,30.74,31.15,30.73,31.2,30.28,31,31.63
48,807011,"PRAKASAM","DORNALA","Pedamanthanala",78.891419,15.881823,27.27,26.89,27.7,27.63,27.58,27.74,26.94,28.2,29.07
49,1304013,"KURNOOL","NANDAVARAM","Ponakaladinne",77.595749,15.843108,30,30.16,30.53,31.15,30.92,30.83,29.97,30.13,30.92
50,757020,"GUNTUR","BAPATLA","MaruproluvaripalemRural",80.469103,15.876046,31.29,31.22,31.67,31.95,31.98,32.53,32.67,32.84,33.76
51,1305009,"KURNOOL","CBELAGAL","C.Belagal",77.662399,15.831281,29.86,30.16,30.58,31.27,30.97,30.89,29.99,30.25,31.03
