"DISTRICT","MANDAL","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
"ANANTAPUR","AGALI",28.54,28.66,29.32,29.1,29.32,28.39,28.25,28.6,28.41
"ANANTAPUR","AMADAGUR",27.54,27.64,28.36,28.45,27.63,27.45,26.32,26.45,27.85
"ANANTAPUR","AMARAPURAM",28.98,28.91,29.72,29.69,29.52,29.03,28.67,28.42,28.98
"ANANTAPUR","ANANTAPURMANDAL",30.46,29.94,30.97,30.92,30.47,30.59,29.38,29.93,30.5
"ANANTAPUR","ATMAKUR",29.93,29.04,29.83,29.83,29.52,29.52,28.54,29.45,29.84
"ANANTAPUR","BATHALAPALLE",30.19,30.17,30.93,30.35,30.05,29.94,29.34,29.67,30
"ANANTAPUR","BELUGUPPA",28.88,28.38,29.35,29.19,28.8,28.91,27.98,28.74,29.08
"ANANTAPUR","BOMMANAHAL",29.19,29.02,29.56,29.92,29.58,29.53,28.66,28.96,30.04
"ANANTAPUR","BRAHMASAMUDRAM",29.04,28.67,30.09,29.4,29.17,29,28.44,28.3,28.97
"ANANTAPUR","BUKKAPATNAM",29.07,28.84,29.86,29.96,29.07,29.18,28.54,28.55,29.12
"ANANTAPUR","BUKKARAYASAMUDRAM",30.51,29.94,30.97,30.92,30.47,30.59,29.39,29.93,30.5
"ANANTAPUR","CHENNEKOTHAPALLE",29.68,29.43,30.55,30.27,29.72,29.55,28.92,29.11,29.4
"ANANTAPUR","CHILAMATHUR",27.97,28.19,28.76,28.64,28.2,27.87,27.74,28.06,28.16
"ANANTAPUR","DHARMAVARAM",30.12,30.02,30.83,30.35,29.87,29.69,29.3,29.43,29.87
"ANANTAPUR","DHIRCHAL",28.93,28.54,29.16,29.73,29.21,29.31,28.32,28.61,29.6
"ANANTAPUR","GANDLAPENTA",27.78,28.04,28.94,29.04,28.06,27.89,26.81,26.87,28.12
"ANANTAPUR","GARLADINNE",30.46,30.12,30.97,30.92,30.68,30.72,29.38,29.93,30.5
"ANANTAPUR","GOOTY",30.42,29.94,30.43,30.77,30.71,30.68,29.57,30.35,30.78
"ANANTAPUR","GORANTLA",28.26,28.37,29.15,29,28.35,28.32,28.09,28.3,28.69
"ANANTAPUR","GUDIBANDA",28.53,28.67,29.31,29.34,29.16,28.58,28.4,28.37,28.57
