"DISTRICT","MANDAL","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
"ANANTAPUR","AGALI",0,0,0,0,0,0.02,0.02,0,0
"ANANTAPUR","AMADAGUR",0.01,0,0,0,0,0.01,0.02,0,0
"ANANTAPUR","AMARAPURAM",0,0,0,0,0,0,0,0,0
"ANANTAPUR","ANANTAPURMANDAL",0.37,0,0,0,0,0,0.02,0,0
"ANANTAPUR","ATMAKUR",0.01,0,0,0,0.01,0,0.02,0,0
"ANANTAPUR","BATHALAPALLE",0.26,0,0,0,0.02,0.01,0.01,0,0
"ANANTAPUR","BELUGUPPA",0.01,0,0,0,0.02,0,0.02,0,0
"ANANTAPUR","BOMMANAHAL",0.01,0,0,0,0,0,0,0,0
"ANANTAPUR","BRAHMASAMUDRAM",0,0,0,0,0.01,0,0,0,0
"ANANTAPUR","BUKKAPATNAM",0.05,0,0,0,0,0.01,0.02,0,0
"ANANTAPUR","BUKKARAYASAMUDRAM",0.08,0,0,0,0,0.00999999999999995,0.03,0,0
"ANANTAPUR","CHENNEKOTHAPALLE",0.02,0,0,0,0,0,0.02,0,0
"ANANTAPUR","CHILAMATHUR",0.02,0,0,0,0,0.01,0,0,0
"ANANTAPUR","DHARMAVARAM",0.26,0,0,0,0,0.01,0.02,0,0
"ANANTAPUR","DHIRCHAL",0.01,0,0,0,0.01,0,0,0,0
"ANANTAPUR","GANDLAPENTA",0.01,0,0,0.03,0,0,0.04,0,0
"ANANTAPUR","GARLADINNE",0.01,0,0,0,0,0,0.02,0,0
"ANANTAPUR","GOOTY",0.01,0,0,0.01,0.01,0,0.02,0,0
"ANANTAPUR","GORANTLA",0.02,0,0,0,0,0.01,0,0,0
"ANANTAPUR","GUDIBANDA",0,0,0,0,0,0,0,0,0
"ANANTAPUR","GUMMAGATTA",0,0,0,0,0.01,0,0.02,0,0
"ANANTAPUR","GUNTAKAL",0.01,0,0,0.01,0.01,0.01,0,0,0
"ANANTAPUR","HINDUPUR",0,0,0,0,0,0,0,0,0
"ANANTAPUR","KADIRI",0.02,0,0,0.02,0,0,0.03,0,0
"ANANTAPUR","KALYANDURG",0,0,0,0,0.02,0.01,0,0,0
"ANANTAPUR","KAMBADUR",0.02,0,0,0,0,0,0,0,0
"ANANTAPUR","KANAGANAPALLE",0.04,0,0,0,0.02,0,0.02,0,0
"ANANTAPUR","KANEKAL",0.03,0,0,0,0.02,0.01,0,0,0
"ANANTAPUR","KOTHACHERUVU",0.01,0,0,0,0,0,0,0,0
"ANANTAPUR","KUDAIR",0.01,0,0,0,0,0,0.02,0,0
"ANANTAPUR","KUNDURPI",0.02,0,0,0,0,0,0,0,0
"ANANTAPUR","LEPAKSHI",0,0,0,0,0,0.01,0,0,0
"ANANTAPUR","MADAKASIRA",0,0,0,0,0,0.02,0,0,0
"ANANTAPUR","MUDIGUBBA",0.02,0,0,0.02,0,0.01,0.02,0,0
"ANANTAPUR","NALLACHERUVU",0.01,0,0,0.02,0,0,0.02,0,0
"ANANTAPUR","NALLAMADA",0.01,0,0,0,0,0.01,0,0,0
"ANANTAPUR","NAMBULIPULIKUNTA",0.01,0,0,0.07,0.01,0.01,0.06,0,0
"ANANTAPUR","NARPALA",0.37,0,0,0.01,0.02,0.01,0.03,0,0
"ANANTAPUR","OBULADEVARACHERUVU",0.02,0,0,0,0,0.01,0.02,0,0
"ANANTAPUR","PAMIDI",0,0,0,0,0.01,0,0.01,0,0
"ANANTAPUR","PARIGI",0,0,0,0,0,0.01,0,0,0
"ANANTAPUR","PEDDAPAPPUR",0,0,0,0.02,0,0.01,0.03,0,0
"ANANTAPUR","PEDDAVADUGUR",0.01,0,0,0.01,0,0,0.03,0,0
"ANANTAPUR","PENUKONDA",0.01,0,0,0,0,0.01,0,0,0
"ANANTAPUR","PUTLUR",0.01,0,0.01,0.03,0,0.01,0.03,0,0
"ANANTAPUR","PUTTAPARTHI",0.01,0,0,0,0,0.01,0,0,0
"ANANTAPUR","RAMAGIRI",0.04,0,0,0,0,0,0.02,0,0
"ANANTAPUR","RAPTADU",0.19,0,0,0,0.01,0,0.00999999999999998,0,0
"ANANTAPUR","RAYADURG",0,0,0,0,0.01,0.01,0.02,0,0
"ANANTAPUR","RODDAM",0,0,0,0,0,0.01,0,0,0
"ANANTAPUR","ROLLA",0,0,0,0,0,0.02,0.02,0,0
"ANANTAPUR","SETTUR",0.01,0,0,0,0,0,0,0,0
"ANANTAPUR","SINGANAMALA",0.01,0,0,0.01,0,0.01,0.03,0,0
"ANANTAPUR","SOMANDEPALLE",0,0,0,0,0,0.01,0,0,0
"ANANTAPUR","TADIMARRI",0.14,0,0,0.02,0.02,0.01,0.02,0,0
"ANANTAPUR","TADPATRI",0,0,0.01,0.05,0,0.01,0.03,0,0
"ANANTAPUR","TALUPULA",0.05,0,0,0.04,0.01,0.01,0.06,0,0
"ANANTAPUR","TANAKAL",0,0,0,0.01,0,0.01,0.06,0,0
"ANANTAPUR","URAVAKONDA",0.03,0,0,0,0.01,0.01,0.01,0,0
"ANANTAPUR","VAJRAKARUR",0.01,0,0,0,0,0.01,0.01,0,0
