"DISTRICT","D20191211","D20191212","D20191213","D20191214","D20191215","D20191216","D20191217","D20191218","D20191219"
"Srikakulam",94.34,94.65,93.94,91.14,92.33,93.29,95.17,95.16,96.9
"Vizianagaram",92.72,95.28,94.29,92.72,92.37,90.92,92.32,92.72,95.24
"Visakhapatnam",94.47,94.32,93.76,93.85,91.99,90.81,90.82,92.01,94.45
"East Godavari",92.67,91.13,90.6,89.99,91.15,92.12,92.3,94.41,95.46
"West Godavari",93.82,93.45,91.39,90.08,93.18,93.73,94.41,94.68,97.42
"Krishna",94.68,94.21,90.71,93.04,94.29,96.13,96.43,95.87,97.77
"Guntur",95.95,96.53,93.25,95.52,96.53,97.07,98.29,96.19,97.1
"Prakasam",96.13,96.99,94.77,97.16,97.69,96.67,97.41,96.05,96.32
"Kurnool",92.35,92.79,94.73,95.97,97.87,93.23,97.17,93.24,92.7
"Anantapur",92.13,92.8,95.83,96.12,98.52,95.28,98.28,94.57,94.68
"Kadapa",93.95,96.47,94.73,96.59,98.52,95.18,97.62,95.02,95.71
"Chittoor",96.96,96.16,95.68,96.51,97.72,96.09,97.94,93.49,95.85
"Nellore",95.3,94.82,91.29,93.76,94.85,95.94,94.17,91.77,96.17
