"DISTRICT","D20191211","D20191212","D20191213","D20191214","D20191215","D20191216","D20191217","D20191218","D20191219"
"Srikakulam",29.98,29.4,28.96,30.12,30.11,30.59,30.08,30.18,30.99
"Vizianagaram",30.33,29.33,28.68,30.5,30.55,31.19,29.91,30.17,30.89
"Visakhapatnam",27.41,27.02,26.34,28.26,28.4,28.95,28.26,28.59,28.84
"East Godavari",30.06,29.57,29.03,30.5,30.93,31.34,30.21,30.63,30.71
"West Godavari",31.48,30.76,30.36,32.15,32.28,32.93,31.16,31.32,31.37
"Krishna",31.67,30.86,30.72,32.2,32.25,32.61,30.95,31.01,31.25
"Guntur",31.45,31.01,31.51,32.19,32.15,32.53,30.53,30.6,31.25
"Prakasam",29.74,29.53,30.19,30.05,30.03,30.46,29.1,29.32,30.2
"Kurnool",30.81,31.01,31.27,31.71,31.62,31.85,29.48,30,30.75
"Anantapur",29.77,30.04,30.38,30.41,30.1,30.61,27.9,28.31,29.17
"Kadapa",30.25,30.08,30.69,30.3,30.34,31,28.92,29.15,29.54
"Chittoor",28.6,28.37,28.71,27.89,28.39,28.87,27.16,27.81,27.95
"Nellore",30.18,29.96,30.23,29.74,30.04,30.46,29.75,29.99,29.91
