"DISTRICT","MANDAL","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
"ANANTAPUR","AGALI",28.89,29.36,29.58,30.03,29.84,29.94,28.63,28.52,29.38
"ANANTAPUR","AMADAGUR",27,27.47,27.86,28.06,27.15,27.88,26.22,26.33,27.63
"ANANTAPUR","AMARAPURAM",29.07,29.8,30.08,30.28,30.06,30.19,28.94,28.67,29.88
"ANANTAPUR","ANANTAPURMANDAL",30.57,30.53,30.88,30.9,30.59,31.29,29.24,30.02,30.54
"ANANTAPUR","ATMAKUR",29.26,29.08,29.13,29.24,29.09,29.76,27.99,28.9,29.58
"ANANTAPUR","BATHALAPALLE",30.12,30.19,30.79,30.24,30,30.6,28.85,29.4,29.98
"ANANTAPUR","BELUGUPPA",28.32,28.3,28.5,28.37,28.62,28.79,27.3,28.12,28.96
"ANANTAPUR","BOMMANAHAL",28.87,29.08,29.1,29.53,29.72,29.94,28.13,29.08,29.91
"ANANTAPUR","BRAHMASAMUDRAM",28.79,29.27,29.96,29.09,29.25,29.35,27.97,28.14,29.23
"ANANTAPUR","BUKKAPATNAM",28.84,29.19,29.93,29.78,29.06,29.79,28.26,28.15,29.48
"ANANTAPUR","BUKKARAYASAMUDRAM",30.57,30.53,30.88,30.9,30.59,31.29,29.24,30.02,30.54
"ANANTAPUR","CHENNEKOTHAPALLE",29.4,29.97,30.47,29.96,29.68,30.19,28.44,28.55,29.38
"ANANTAPUR","CHILAMATHUR",27.95,28.56,28.79,28.62,28.5,28.91,27.57,27.7,28.88
"ANANTAPUR","DHARMAVARAM",30.03,30.08,30.64,30.21,29.9,30.44,28.69,29.12,29.73
"ANANTAPUR","DHIRCHAL",28.45,28.49,28.5,29.06,29.22,29.38,27.6,28.42,29.04
"ANANTAPUR","GANDLAPENTA",27.23,27.78,28.61,28.84,27.56,28.35,26.66,26.7,27.79
"ANANTAPUR","GARLADINNE",30.57,30.53,30.88,30.93,30.65,31.29,29.24,30.02,30.54
