"DISTRICT","D20191211","D20191212","D20191213","D20191214","D20191215","D20191216","D20191217","D20191218","D20191219"
"Srikakulam",5.69,6.79,6.9,8.42,7.77,7.24,7.27,5.71,5.7
"Vizianagaram",4.91,5.54,5.37,6.45,5.64,5.66,6,4.69,4.55
"Visakhapatnam",5.15,7.29,7.52,7.85,7.61,7.5,7.09,5.71,5.05
"East Godavari",6.21,9.19,9.98,9.3,9.03,9.2,8.41,7.4,5.99
"West Godavari",6.51,9.6,11,9.62,9.69,9.5,8.34,7.21,6.22
"Krishna",7.11,9.69,10.74,10.13,9.98,9.38,8.61,7.6,5.94
"Guntur",6.55,8.8,9.53,8.89,8.74,8.47,7.57,7.04,6.54
"Prakasam",6.23,8.28,8.1,8.49,7.7,8.37,7.7,7.26,6.67
"Kurnool",8.04,10.73,9.6,10.48,10.05,9.52,9.42,9.05,7.79
"Anantapur",9.11,10,8.88,10.74,10.25,10.04,10.09,9.98,9.33
"Kadapa",7.83,9.11,7.85,9.08,8.63,7.76,8.57,8.36,7.38
"Chittoor",7.85,8.75,7.38,9.57,8.42,8.62,8.88,9.45,7.76
"Nellore",6.76,8.38,7.24,9.49,7.96,8.82,9.47,9.06,7.47
