"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-12-16 05:30:00,18.4462833404541,18.88,97.22,0,1014.4712,12.3877458572388,117.13
"2",2019-12-16 08:30:00,22.425745010376,22.9,83.15,0.01,1017.0525,19.2610605239868,123.68
"3",2019-12-16 11:30:00,26.7672672271729,27.56,56.16,0.01,1016.2175,16.3303905487061,115.39
"4",2019-12-16 14:30:00,28.7920475006104,28.74,43.79,0,1013.0619,14.922532081604,106.87
"5",2019-12-16 17:30:00,25.8633060455322,25.89,53.24,0,1013.4325,12.9439621925354,97.01
"6",2019-12-16 20:30:00,22.0473575592041,22.13,69.54,0,1015.9706,13.125012588501,103.1
"7",2019-12-16 23:30:00,19.0637149810791,19.28,86.28,0,1016.25,13.232924079895,68.47
"8",2019-12-17 02:30:00,18.4937076568604,18.7,88.26,0,1015.6006,12.3815493106842,105.03
"9",2019-12-17 05:30:00,17.7251834869385,18.03,94.83,0,1016.7119,12.0389651298523,90.59
"10",2019-12-17 08:30:00,21.6659488677979,22.09,84.2,0,1019.0256,17.6794961929321,110.08
"11",2019-12-17 11:30:00,26.9151248931885,27.53,53.11,0,1017.7631,17.8687408447266,91.42
"12",2019-12-17 14:30:00,28.4422855377197,28.3,42.87,0,1013.8931,17.5109127044678,88.63
"13",2019-12-17 17:30:00,25.2839298248291,25.29,54.48,0,1014.3544,12.9839249610901,90.7
"14",2019-12-17 20:30:00,21.5734195709229,21.65,71.59,0,1017.0481,12.1809342384338,113.39
"15",2019-12-17 23:30:00,19.9354190826416,20.11,81.44,0,1017.0794,10.5792735099792,41.59
"16",2019-12-18 02:30:00,18.2151737213135,18.39,87.94,0,1015.15,12.7533957481384,359.79
"17",2019-12-18 05:30:00,17.1369876861572,17.32,92.49,0,1016.2956,11.2952735424042,38.26
"18",2019-12-18 08:30:00,22.2032413482666,22.44,74.96,0,1019.135,10.0668879032135,79.32
"19",2019-12-18 11:30:00,27.6072635650635,28.1,51.03,0,1017.8306,15.6122820854187,67.31
"20",2019-12-18 14:30:00,28.6838626861572,28.6,43.57,0,1013.9025,14.1239624977112,101.05
"21",2019-12-18 17:30:00,26.0417728424072,26.1,53.46,0,1014.4912,15.2249290466309,108.44
"22",2019-12-18 20:30:00,21.8591861724854,22.03,73.8,0,1017.0881,12.328351020813,93.7
"23",2019-12-18 23:30:00,19.0671329498291,19.38,90.06,0,1016.7012,13.1543263435364,73.54
"24",2019-12-19 02:30:00,19.9482364654541,20.23,85.33,0,1015.1156,7.70118556022644,106.12
"25",2019-12-19 05:30:00,18.4375247955322,18.74,91.9,0,1015.9444,11.9542596817017,131.93
"26",2019-12-19 08:30:00,21.6998844146729,22.02,80.38,0,1018.825,9.79772243499756,123.5
"27",2019-12-19 11:30:00,27.6462955474854,28.03,49.56,0,1017.335,11.3177693367004,86.38
"28",2019-12-19 14:30:00,28.9558353424072,28.95,44.13,0,1013.1519,11.6478548526764,62.67
"29",2019-12-19 17:30:00,25.9905033111572,26.11,56.06,0,1013.025,10.8003999710083,96.15
"30",2019-12-19 20:30:00,22.4177494049072,22.54,69.82,0,1015.4725,12.8852986335754,81.85
"31",2019-12-19 23:30:00,19.7040042877197,19.95,84.84,0,1015.105,11.8590562820435,78.03
"32",2019-12-20 02:30:00,19.1344242095947,19.38,87.36,0,1013.5019,11.3061826229095,75.66
"33",2019-12-20 05:30:00,18.5941715240479,18.85,89.8,0,1014.0112,8.14884366989136,278.23
"34",2019-12-20 08:30:00,21.9628849029541,22.19,75.62,0,1016.4306,6.56328145265579,213.69
"35",2019-12-20 11:30:00,28.243860244751,27.85,39.58,0,1015.3619,8.72573940753937,67.79
"36",2019-12-20 14:30:00,29.6837100982666,28.75,33.83,0,1011.7775,10.1936714172363,84.75
"37",2019-12-20 17:30:00,26.1733646392822,26.02,44.83,0,1012.1519,13.1489653587341,87.65
"38",2019-12-20 20:30:00,22.4747562408447,22.44,63.92,0,1014.7262,14.3811532974243,113.53
"39",2019-12-20 23:30:00,19.206018447876,19.37,83.72,0,1014.9394,13.4926494598389,103.83
"40",2019-12-21 02:30:00,19.3288822174072,19.47,82.53,0,1013.6525,12.3409226417542,141.7
"41",2019-12-21 05:30:00,19.5235843658447,19.74,84.6,0,1013.7769,10.2208119392395,188.35
"42",2019-12-21 08:30:00,22.2740116119385,22.45,72.66,0,1015.8831,7.8198333978653,137.63
"43",2019-12-21 11:30:00,28.5052738189697,27.89,36.78,0,1014.66,13.9652366638184,97.48
"44",2019-12-21 14:30:00,29.602746963501,28.83,35.72,0,1010.8856,16.1070865631104,94.89
"45",2019-12-21 17:30:00,26.3292484283447,26.75,48.34,0,1011.4881,14.2770775794983,88.8
"46",2019-12-21 20:30:00,22.7478275299072,22.77,64.72,0.01,1014.3375,15.6793725013733,98.25
"47",2019-12-21 23:30:00,20.544153213501,20.67,77.12,0,1014.0481,13.8048774719238,104.77
"48",2019-12-22 02:30:00,18.5720157623291,18.82,89.46,0,1013.1269,14.315535736084,160.22
"49",2019-12-22 05:30:00,17.4446659088135,17.76,96.21,0,1013.7688,13.8247017860413,141.86
"50",2019-12-22 11:30:00,28.0183658599854,28.17,46.56,0,1015.2412,14.9040784835815,134.04
"51",2019-12-22 17:30:00,26.3023929595947,26.72,48.18,0,1012.3331,17.1297145843506,112.48
"52",2019-12-22 23:30:00,20.651819229126,20.76,76.38,0,1015.2044,12.9128228187561,131.93
"53",2019-12-23 05:30:00,17.6776371002197,17.88,90.97,0,1013.6869,12.5383443832397,133.68
"54",2019-12-23 11:30:00,28.8375492095947,28.33,38.66,0,1014.6456,15.2520378112793,143.57
"55",2019-12-23 17:30:00,27.1729373931885,27.12,42.44,0,1011.5719,15.9247770309448,103.41
"56",2019-12-23 23:30:00,21.402795791626,21.29,64.79,0,1014.3938,12.4772685527802,156.15
"57",2019-12-24 05:30:00,18.086633682251,18.24,87.43,0,1013.5856,13.5432106018066,151.86
"58",2019-12-24 11:30:00,28.7237796783447,28.57,42.75,0,1014.3481,15.533155632019,136.91
"59",2019-12-24 17:30:00,27.627405166626,27.36,40.11,0,1011.0069,15.4820606231689,92.28
"60",2019-12-24 23:30:00,21.7161808013916,21.39,55.4,0,1013.4325,13.0105110168457,138.1
"61",2019-12-25 05:30:00,18.2479496002197,18.41,87.34,0,1012.2381,13.9711323738098,147.17
"62",2019-12-25 11:30:00,29.9702396392822,28.96,33.02,0,1013.0638,16.7382167816162,130.35
"63",2019-12-25 17:30:00,27.8917484283447,27.37,36.66,0,1009.7469,15.4149556159973,107.13
"64",2019-12-25 23:30:00,21.5236148834229,21.38,63.19,0,1012.3394,13.4025392532349,144.91
"65",2019-12-26 05:30:00,19.875940322876,20.31,91.59,0,1011.5794,12.2145159244537,145.14
