"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-12-16 05:30:00,23.1650333404541,23.91,90.82,0,1010.3312,10.9878584861755,131.36
"2",2019-12-16 08:30:00,26.238245010376,28.18,80.91,0,1012.6325,6.89650740623474,164.62
"3",2019-12-16 11:30:00,29.8610172271729,34.52,69.23,0.04,1011.8975,10.3578406333923,292.47
"4",2019-12-16 14:30:00,31.1670475006104,36.15,63.53,0.03,1008.8619,12.3221961021423,284.78
"5",2019-12-16 17:30:00,28.5820560455322,33.71,80.52,0.01,1009.3525,8.85150861740112,319.45
"6",2019-12-16 20:30:00,26.1411075592041,28.25,86.86,0.36,1012.1906,10.7985898017883,329.13
"7",2019-12-16 23:30:00,25.9074649810791,27.56,82.25,0,1012.33,7.14441229104996,100.03
"8",2019-12-17 02:30:00,24.2437076568604,25,87.05,0.01,1011.0006,10.4358637332916,174.96
"9",2019-12-17 05:30:00,23.0064334869385,23.77,92.15,0,1010.9519,10.8773287296295,150.45
"10",2019-12-17 08:30:00,25.6659488677979,27.02,79.29,0,1013.2656,7.89452819824219,165.6
"11",2019-12-17 11:30:00,29.4151248931885,33.03,66.9,0.02,1012.4631,10.220670747757,187.31
"12",2019-12-17 14:30:00,30.5672855377197,34.73,63.35,0.28,1009.0131,10.5508498191833,324.05
"13",2019-12-17 17:30:00,29.1901798248291,35.02,78.91,0.0600000000000001,1009.5544,7.88905777931213,316.99
"14",2019-12-17 20:30:00,26.3859195709229,28.71,84.79,0.0299999999999999,1012.4281,11.1817779064178,339.29
"15",2019-12-17 23:30:00,26.2166690826416,28.01,78.38,0,1012.7394,8.85759959220886,8.07
"16",2019-12-18 02:30:00,24.4651737213135,25.25,87.29,0,1010.87,11.0789729118347,144.58
"17",2019-12-18 05:30:00,24.0119876861572,24.65,83.7,0.05,1010.9556,8.95610811710358,151.78
"18",2019-12-18 08:30:00,25.3907413482666,25.95,75.18,0,1013.575,6.85869534015656,171.06
"19",2019-12-18 11:30:00,29.5447635650635,32.94,65.07,0,1012.7906,10.0380303382874,255.99
"20",2019-12-18 14:30:00,31.6526126861572,35.64,57.72,0,1008.9025,7.79918618202209,213.09
"21",2019-12-18 17:30:00,29.1042728424072,33.52,72.87,0,1009.2112,10.9609557151794,338.15
"22",2019-12-18 20:30:00,27.0466861724854,29.84,79.99,0,1012.6081,10.0881640434265,349.92
"23",2019-12-18 23:30:00,26.5983829498291,28.52,74.89,0,1012.4612,8.78713624477387,141.23
"24",2019-12-19 02:30:00,24.3232364654541,25.06,86.1,0,1011.0956,10.5482276916504,162.64
"25",2019-12-19 05:30:00,22.8750247955322,23.54,88.84,0,1011.5044,10.2140514850616,129.87
"26",2019-12-19 08:30:00,25.8248844146729,27.19,75.07,0,1014.005,9.12456221580505,190.27
"27",2019-12-19 11:30:00,30.2087955474854,34.09,63.89,0.03,1013.075,7.27996029853821,183.44
"28",2019-12-19 14:30:00,32.5808353424072,36.75,54.56,0.0199999999999999,1008.6519,9.07400193214417,185.56
"29",2019-12-19 17:30:00,29.2092533111572,34.09,74.39,0.01,1008.685,10.2285139560699,312.24
"30",2019-12-19 20:30:00,26.2927494049072,28.52,85,0.0600000000000001,1011.5425,10.3965785980225,342.8
"31",2019-12-19 23:30:00,26.1415042877197,27.91,79.37,0,1011.635,7.84723205566406,133.93
"32",2019-12-20 02:30:00,25.5719242095947,26.84,78.23,0,1009.9419,8.41847884654999,109.03
"33",2019-12-20 05:30:00,23.5316715240479,24.26,88.78,0,1010.5312,11.7068853378296,126.06
"34",2019-12-20 08:30:00,26.7441349029541,28.81,75.21,0,1012.9906,9.08548393249512,145.06
"35",2019-12-20 11:30:00,30.306360244751,34.43,64.47,0.01,1012.4619,8.54353995323181,160.41
"36",2019-12-20 14:30:00,30.8399600982666,35.36,63.42,0.16,1008.7575,12.5734723091125,218.93
"37",2019-12-20 17:30:00,29.6108646392822,34.91,73.52,0.0600000000000001,1009.1719,8.55436642169952,281.98
"38",2019-12-20 20:30:00,26.1310062408447,28.35,89.28,0,1012.2062,11.3790674686432,1.29
"39",2019-12-20 23:30:00,26.581018447876,28.97,81.84,0,1011.9194,6.85177255868912,95.32
"40",2019-12-21 02:30:00,25.0476322174072,25.85,85.64,0.03,1009.9525,9.0053858757019,45.2
"41",2019-12-21 05:30:00,22.8673343658447,23.64,93.06,0,1009.9969,10.3935607910156,142.89
"42",2019-12-21 08:30:00,26.0865116119385,27.55,73.04,0,1011.5431,8.75257952213287,159.38
"43",2019-12-21 11:30:00,29.9427738189697,32.82,60.48,0,1010.84,8.07132031917572,247.97
"44",2019-12-21 14:30:00,32.102746963501,35.23,52.69,0,1007.2256,11.2976021289825,282.54
"45",2019-12-21 17:30:00,29.1729984283447,33.23,70.64,0,1008.0681,11.21599817276,292.94
"46",2019-12-21 20:30:00,25.8415775299072,27.45,83.46,-0.02,1010.8975,10.3729283809662,10.99
"47",2019-12-21 23:30:00,26.419153213501,28.16,74.34,0,1011.4881,7.51485378742218,85.56
"48",2019-12-22 02:30:00,24.0407657623291,24.68,83.52,0,1010.2069,8.3097892999649,112.92
"49",2019-12-22 05:30:00,23.3196659088135,23.91,84.37,0,1010.4888,11.4100815296173,122.11
"50",2019-12-22 11:30:00,30.4558658599854,33.73,60.03,0,1012.4812,8.43010053634644,259.9
"51",2019-12-22 17:30:00,28.4898929595947,31.98,72.07,0,1009.5931,13.9856712341309,317.9
"52",2019-12-22 23:30:00,24.745569229126,25.54,86.64,0,1012.4644,8.17278077602387,70.14
"53",2019-12-23 05:30:00,23.3651371002197,23.94,83.4,0,1011.3269,10.6684541702271,124.94
"54",2019-12-23 11:30:00,30.4937992095947,33.65,59.34,0,1012.6456,9.09998073577881,253.28
"55",2019-12-23 17:30:00,28.7354373931885,32.88,74.11,0.02,1009.7119,12.9183897972107,327.41
"56",2019-12-23 23:30:00,24.965295791626,25.89,90.99,0,1012.2138,9.28477506637573,37.32
"57",2019-12-24 05:30:00,23.961633682251,24.67,86.61,0,1011.3456,9.8103515625,93.41
"58",2019-12-24 11:30:00,30.4112796783447,34.58,64.14,0.01,1012.2481,9.11668510437012,247.25
"59",2019-12-24 17:30:00,28.939905166626,33.51,74.85,0.29,1009.2269,14.278591632843,323.49
"60",2019-12-24 23:30:00,25.7786808013916,27.45,88.5,0,1011.5325,7.53914129734039,64.62
"61",2019-12-25 05:30:00,23.5291996002197,24.23,87.98,0,1010.3181,9.92127184867859,97.89
"62",2019-12-25 11:30:00,31.0014896392822,34.61,59.03,0,1011.3438,8.06419594287872,253.42
"63",2019-12-25 17:30:00,29.6729984283447,34.87,72.69,0.03,1008.0669,12.9656344413757,286.66
"64",2019-12-25 23:30:00,25.9923648834229,28.05,90.63,1.28,1011.8794,9.14697217941284,149.52
"65",2019-12-26 05:30:00,24.219690322876,25.25,97.81,0.43,1010.2994,8.57218315601349,105.85
