"DISTRICT","D20191216","D20191217","D20191218","D20191219","D20191220","D20191221","D20191222","D20191223","D20191224","D20191225"
"Srikakulam",0.01,0.16,0.39,0.5,0.09,0.07,0.02,0,0,0
"Vizianagaram",0,0.1,0.52,0.77,0.18,0.26,0.04,0,0,0
"Visakhapatnam",0,0.03,0.34,0.45,0.19,0.41,0.28,0,0,0.06
"East Godavari",0.01,0.03,0.16,0.36,0.27,0.32,0.25,0,0,0.01
"West Godavari",0,0,0.01,0.18,0.16,0.18,0.29,0,0,0
"Krishna",0.04,0.02,0.1,0.49,0.38,0.33,0.24,0,0,0
"Guntur",0.08,0.01,0.03,0.33,0.24,0.22,0.25,0,0,0.02
"Prakasam",1.32,0.16,0.21,0.38,0.34,0.14,0.26,0,0,0.05
"Kurnool",0.6,0,0,0,0,0,0,0,0,0.02
"Anantapur",1.39,0.01,0,0,0,0,0,0,0,0
"Kadapa",3.5,0.03,0.06,0.04,0.02,0,0.01,0,0,0.07
"Chittoor",4.9,0.06,0.08,0.01,0.11,0.06,0.01,0,0.03,1.37
"Nellore",3.24,0.05,0.15,0.19,0.59,0.05,0.06,0.01,0.09,1.38
