"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","16-12-19","17-12-19","18-12-19","19-12-19","20-12-19","21-12-19","22-12-19","23-12-19","24-12-19","25-12-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,80.205,78.32125,78.0575,81.60875,81.8775,81.335,79.265,77.7425,77.505,82.3225
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,71.6275,69.0775,68.8475,68.79625,68.38375,67.665,68.0725,62.755,55.385,62.7925
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,74.97125,71.965,72.7975,72.33,70.50125,69.47625,72.3325,63.7275,58.535,67.8725
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,79.96875,78.015,77.94375,81.48625,83.05875,81.60125,77.8625,77.6525,77.235,82.115
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,66.05875,62.80625,64.25625,63.92,61.66,60.05,59.625,51.48,48.27,49.765
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,80.4875,76.905,76.75875,80.19625,78.81125,78.46,76.885,74.97,74.3875,76.1625
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,79.03,77.5975,79.0725,82.295,83.3675,83.2475,77.7375,76.7525,79.1275,83.3125
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,80.7375,77.4625,76.74125,79.4775,74.72125,73.99,75.73,74.2275,72.4925,74.61
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,65.32625,62.07,62.66125,63.135,60.3225,58.19125,57.5,49.295,47.4625,47.205
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,67.575,65.2925,65.8025,65.7725,63.87,62.71625,62.5775,54.375,51.3775,53.5375
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,80.1075,75.69375,76.725,78.92875,76.22375,75.8975,75.875,74.2275,73.525,75.125
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,64.0825,60.91125,61.57,62.0925,58.835,55.945,55.155,47.2875,45.815,45.6925
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,66.05875,62.80625,64.25625,63.92,61.66,60.05,59.625,51.48,48.27,49.765
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,77.825,75.8,76.7725,83.0975,84.52875,84.93625,76.595,75.65,78.035,83.93
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,80.1075,75.69375,76.725,78.92875,76.22375,75.8975,75.875,74.2275,73.525,75.125
